venue_id,likely_home_team,fair_bip,tracked_bip,coverage_pct
788301135,MASS,149,0,0.0
791980001,WAG,204,0,0.0
719257910,GAST,164,0,0.0
738976621,NCAT,42,0,0.0
790223164,MRMK,216,0,0.0
738936201,SC,674,0,0.0
799854656,CCSU,66,0,0.0
768784224,SHU,847,0,0.0
760956424,YSU,174,0,0.0
795160634,WAG,293,0,0.0
724773717,COPP,43,0,0.0
797213521,PUR,143,0,0.0
704790367,M-OH,442,0,0.0
745046429,GASO,48,0,0.0
754886058,NICH,92,0,0.0
792072819,DSU,343,0,0.0
740583310,MRST,705,0,0.0
747298217,SEA,49,0,0.0
700092345,YSU,145,0,0.0
785042380,XAV,45,0,0.0
778962324,ORU,46,0,0.0
713965263,SEA,19,0,0.0
731528974,AAMU,91,0,0.0
726415115,MIZZ,45,0,0.0
714743170,MD,61,0,0.0
706701103,ALCN,43,0,0.0
779996384,MCYH,140,0,0.0
741734326,IONA,170,0,0.0
784843748,MASS,145,0,0.0
798899683,CONN,110,0,0.0
799977937,AAMU,137,0,0.0
728768146,SIE,170,0,0.0
714603444,BALL,47,0,0.0
759201125,LBSU,287,0,0.0
783692089,MSM,151,0,0.0
722894436,JKST,42,0,0.0
738802393,AKR,133,0,0.0
719122162,MRMK,267,0,0.0
755375672,MASSL,96,0,0.0
775063147,WRST,52,0,0.0
732885146,UGA,45,0,0.0
746034515,PENN,42,0,0.0
756539681,MORE,145,0,0.0
777617397,OSU,131,0,0.0
724715165,BU,156,0,0.0
758858598,KU,55,0,0.0
731035114,FAIR,159,0,0.0
738054308,COOK,103,0,0.0
779582159,WVU,43,0,0.0
756338674,BEL,38,0,0.0
750911154,BU,110,0,0.0
790544438,ALCN,102,0,0.0
718598910,VT,52,0,0.0
786867244,EKY,48,0,0.0
756948003,COFC,54,0,0.0
715229404,MASSL,1129,116,10.3
750401879,CARK,1398,289,20.7
756904000,TOL,145,40,27.6
746136177,UOWG,1149,334,29.1
787594152,CLEM,133,39,29.3
752104897,UNM,1846,689,37.3
734736743,ALST,271,101,37.3
796023168,STON,968,428,44.2
703272676,AFA,379,174,45.9
799227734,ALST,94,44,46.8
706590951,MRST,538,253,47.0
727917637,USA,89,43,48.3
726215068,KSU,200,97,48.5
732869561,BRAD,465,247,53.1
722170947,PV,101,54,53.5
711926027,HP,96,52,54.2
