Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%
973,1083128894,A. Reyes,Alonso Reyes,Reyes,Alonso,1B,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,3,48,14,11,.273,.429,.273,.701,.000,14.3%,7.1%,2.00,0.0%,1.00,-,.333,66.7%,.344,-
973,1828778419,B. Watters,Bino Watters,Watters,Bino,LF,University of Notre Dame,ND,225,Notre Dame,BBC,L,L,2,45,11,11,.273,.273,.545,.818,.273,36.4%,0.0%,-,9.1%,1.50,11.00,.333,50.0%,.345,-
973,1629534388,E. Peters,Eddie Peters,Peters,Eddie,SS,Xavier University,XAV,5464,Xavier,BBC,R,R,3,46,13,11,.273,.385,.636,1.021,.364,7.7%,7.7%,1.00,7.7%,1.00,11.00,.222,77.8%,.430,-
973,1057407751,B. Schnabel,Braeden Schnabel,Schnabel,Braeden,LF,University of the Pacific,PAC,730386944,Pacific,BBC,R,R,3,43,13,11,.273,.385,.455,.839,.182,38.5%,7.7%,5.00,0.0%,0.67,-,.500,50.0%,.370,-
973,1112215423,J. Radosevich,Jake Radosevich,Radosevich,Jake,C,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,3,24,14,11,.273,.357,.364,.721,.091,21.4%,7.1%,3.00,0.0%,0.00,-,.333,55.6%,.318,-
973,1293501081,W. Burgess,Will Burgess,Burgess,Will,1B,Butler University,BUT,730283520,Butler,BBC,L,L,3,43,13,11,.273,.385,.273,.657,.000,30.8%,15.4%,2.00,0.0%,1.00,-,.429,57.1%,.312,100.0%
973,1129956854,M. Perry,Max Perry,Perry,Max,SS,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,4,68,17,11,.273,.500,.364,.864,.091,11.8%,17.6%,0.67,0.0%,1.25,-,.333,55.6%,.411,100.0%
973,1493011308,D. Jackson,Daniel Jackson,Jackson,Daniel,RF,University of Georgia,UGA,226,Georgia,BBC,R,R,3,49,13,11,.273,.308,.818,1.126,.545,38.5%,7.7%,5.00,15.4%,1.00,5.50,.200,80.0%,.434,100.0%
973,1222218338,C. Griggs,CJ Griggs,Griggs,CJ,C,Hofstra University,HOF,730245120,Hofstra,BBC,L,R,3,51,12,11,.273,.333,.818,1.152,.545,50.0%,8.3%,6.00,16.7%,1.00,5.50,.333,66.7%,.470,-
973,1906304561,B. Burke,Brendan Burke,Burke,Brendan,C,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,3,50,13,11,.273,.385,.364,.748,.091,38.5%,15.4%,2.50,0.0%,0.33,-,.500,50.0%,.340,-
973,1447316056,C. Greene,Cameron Greene,Greene,Cameron,SS,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,L,R,3,51,14,11,.273,.385,.273,.657,.000,14.3%,14.3%,1.00,0.0%,1.00,-,.333,66.7%,.312,100.0%
973,1717584400,J. Crews,Justen Crews,Crews,Justen,CF,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,3,15,11,11,.273,.273,.545,.818,.273,18.2%,0.0%,-,9.1%,0.67,11.00,.250,75.0%,.345,-
973,1548017735,L. Bonham,Lucas Bonham,Bonham,Lucas,IF,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,3,19,12,11,.273,.333,.636,.970,.364,16.7%,8.3%,2.00,8.3%,0.67,11.00,.250,75.0%,.405,-
973,1235694723,L. Terilli,Luciano Terilli,Terilli,Luciano,TWP,George Mason University,GMU,730265088,George Mason,BBC,L,L,3,55,12,11,.273,.333,.273,.606,.000,41.7%,8.3%,5.00,0.0%,0.67,-,.500,50.0%,.280,-
973,1947590748,C. Knowles,Chris Knowles,Knowles,Chris,IF,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,3,62,15,11,.273,.467,.364,.830,.091,6.7%,26.7%,0.25,0.0%,0.67,-,.300,60.0%,.388,100.0%
973,1895565323,E. Guilford,Emory Guilford,Guilford,Emory,OF,Presbyterian College,PRE,730184192,Presbyterian,BBC,L,L,3,36,12,11,.273,.333,.545,.879,.273,8.3%,8.3%,1.00,8.3%,1.00,11.00,.222,77.8%,.375,100.0%
973,1742501954,Z. Hamilton,Zyon Hamilton,Hamilton,Zyon,2B,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,3,21,12,11,.273,.333,.364,.697,.091,25.0%,8.3%,3.00,0.0%,0.33,-,.375,62.5%,.310,-
973,1223725573,D. McEachron,Devyn McEachron,McEachron,Devyn,IF,Mercer University,MER,730240512,Mercer,BBC,R,R,3,41,12,11,.273,.333,.273,.606,.000,33.3%,8.3%,4.00,0.0%,0.67,-,.429,42.9%,.280,-
973,1342170964,M. Onate,Mason Onate,Onate,Mason,IF,Marshall University,MRSH,730333696,Marshall,BBC,L,R,3,51,15,11,.273,.467,.545,1.012,.273,6.7%,20.0%,0.33,6.7%,0.67,11.00,.222,66.7%,.441,66.7%
973,1610720895,C. Wolfley,Caden Wolfley,Wolfley,Caden,OF,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,L,L,3,58,14,11,.273,.429,.273,.701,.000,14.3%,21.4%,0.67,0.0%,1.00,-,.333,66.7%,.339,50.0%
973,1785567526,C. Corcoran,Cade Corcoran,Corcoran,Cade,IF,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,L,R,2,43,12,11,.273,.333,.273,.606,.000,41.7%,8.3%,5.00,0.0%,1.00,-,.500,50.0%,.242,-
973,1428357931,J. Bruno,Joey Bruno,Bruno,Joey,IF,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,4,59,16,11,.273,.500,.364,.864,.091,18.8%,25.0%,0.75,0.0%,1.00,-,.375,50.0%,.409,-
973,1843490288,O. Jenkins,Owen Jenkins,Jenkins,Owen,C,University of Kentucky,UK,5362,Kentucky,BBC,R,R,3,47,12,11,.273,.333,.455,.788,.182,33.3%,8.3%,4.00,0.0%,0.67,-,.429,57.1%,.338,100.0%
973,1741213662,N. Haught,Noah Haught,Haught,Noah,P,University of Richmond,RICH,730171904,Richmond,BBC,R,R,3,41,12,11,.273,.333,.364,.697,.091,8.3%,8.3%,1.00,0.0%,0.67,-,.300,70.0%,.310,-
973,1500634981,G. Huelsing,Gabe Huelsing,Huelsing,Gabe,OF,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,L,L,3,53,13,11,.273,.385,.273,.657,.000,30.8%,7.7%,4.00,0.0%,1.00,-,.429,57.1%,.314,-
1021,1152890880,D. ONeill,Dean ONeill,ONeill,Dean,C,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,3,37,15,15,.267,.267,.467,.733,.200,0.0%,0.0%,-,6.7%,0.67,15.00,.214,71.4%,.312,-
1021,1310545920,A. Guzman,Armani Guzman,Guzman,Armani,RF,West Virginia University,WVU,5327,West Virginia,BBC,L,R,3,64,15,15,.267,.267,.467,.733,.200,13.3%,0.0%,-,0.0%,1.00,-,.308,69.2%,.309,100.0%
1021,1342170302,C. Sullivan,Case Sullivan,Sullivan,Case,SS,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,4,66,19,15,.267,.421,.400,.821,.133,26.3%,15.8%,1.67,0.0%,0.50,-,.400,50.0%,.372,-
1021,1350665041,B. McFeely,Bryce McFeely,McFeely,Bryce,OF,California Baptist University,CBU,5091,California Baptist,BBC,R,R,3,67,16,15,.267,.313,.333,.646,.067,18.8%,6.3%,3.00,0.0%,0.67,-,.333,66.7%,.288,100.0%
1021,1715099341,M. Bravette,Michael Bravette,Bravette,Michael,IF,George Washington University,GW,730249216,George Washington,BBC,R,R,3,57,15,15,.267,.267,.267,.533,.000,20.0%,0.0%,-,0.0%,0.00,-,.333,66.7%,.236,0.0%
1026,1263650048,B. Stinnett,Brandon Stinnett,Stinnett,Brandon,2B,Seattle University,SEA,4504,Seattle,BBC,L,R,2,40,8,8,.250,.250,.250,.500,.000,50.0%,0.0%,-,0.0%,0.00,-,.500,50.0%,.222,-
1026,1097967616,C. Jones,Charlie Jones,Jones,Charlie,1B,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,2,54,10,8,.250,.400,.625,1.025,.375,40.0%,20.0%,2.00,10.0%,1.00,8.00,.333,66.7%,.431,-
1026,1155006976,T. Wood,Tye Wood,Wood,Tye,LF,Tulane University,TULN,730354176,Tulane,BBC,S,L,2,37,11,8,.250,.364,.375,.739,.125,27.3%,18.2%,1.50,0.0%,2.00,-,.333,50.0%,.321,-
1026,1304736768,A. Cheeseman,Alex Cheeseman,Cheeseman,Alex,2B,UAB,UAB,730345984,UAB,BBC,R,R,3,39,10,8,.250,.400,.250,.650,.000,30.0%,10.0%,3.00,0.0%,0.00,-,.400,60.0%,.320,100.0%
1026,1092657664,S. White,Sean White,White,Sean,C,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,3,47,13,12,.250,.308,.333,.641,.083,23.1%,7.7%,3.00,0.0%,0.67,-,.333,66.7%,.286,-
1026,1100118528,E. Hott,Ethan Hott,Hott,Ethan,CF,Stanford University,STAN,730251264,Stanford,BBC,R,R,2,43,9,8,.250,.333,.500,.833,.250,44.4%,11.1%,4.00,0.0%,1.00,-,.500,50.0%,.352,-
1026,1195384576,J. Bennett,Jaylyn Bennett,Bennett,Jaylyn,RF,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,2,33,9,8,.250,.333,.375,.708,.125,33.3%,0.0%,-,0.0%,0.50,-,.400,60.0%,.318,100.0%
1026,1239203072,K. Hall,Kevin Hall,Hall,Kevin,CF,UAB,UAB,730345984,UAB,BBC,L,R,3,44,12,12,.250,.250,.250,.500,.000,8.3%,0.0%,-,0.0%,0.67,-,.273,72.7%,.222,100.0%
1026,1162352384,C. Barr,Chris Barr,Barr,Chris,LF,Army West Point,ARMY,4744,Army,BBC,S,R,3,27,12,12,.250,.250,.250,.500,.000,0.0%,0.0%,-,0.0%,0.00,-,.250,75.0%,.222,-
1026,1093954304,M. Trommer,Michael Trommer,Trommer,Michael,3B,Bucknell University,BUCK,730214144,Bucknell,BBC,L,R,3,43,13,12,.250,.308,.500,.808,.250,38.5%,7.7%,5.00,7.7%,0.67,12.00,.333,66.7%,.346,-
1026,1235324160,L. Rodriguez,Lewis Rodriguez,Rodriguez,Lewis,CF,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,3,47,13,12,.250,.308,.417,.724,.167,15.4%,7.7%,2.00,0.0%,0.33,-,.300,70.0%,.312,-
1026,1313516800,J. Hernandez,Javon Hernandez,Hernandez,Javon,IF,University of Memphis,MEM,730172160,Memphis,BBC,R,R,2,39,10,8,.250,.400,.250,.650,.000,10.0%,20.0%,0.50,0.0%,1.00,-,.286,71.4%,.317,100.0%
1026,1101605632,A. Matias,Andres Matias,Matias,Andres,SS,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,3,63,13,8,.250,.538,.375,.913,.125,15.4%,38.5%,0.40,0.0%,1.00,-,.333,66.7%,.433,-
1026,1275126785,J. Barbour,Jake Barbour,Barbour,Jake,2B,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,R,3,53,13,12,.250,.308,.333,.641,.083,46.2%,7.7%,6.00,0.0%,0.00,-,.500,50.0%,.286,-
1026,1201266944,L. Scales,Luke Scales,Scales,Luke,3B,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,3,42,13,12,.250,.308,.250,.558,.000,30.8%,0.0%,-,0.0%,0.67,-,.375,62.5%,.261,100.0%
1026,1263556864,N. Husovsky,Nick Husovsky,Husovsky,Nick,2B,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,2,34,9,8,.250,.333,.625,.958,.375,33.3%,0.0%,-,11.1%,1.00,8.00,.250,75.0%,.405,-
1026,1251692544,B. Evans,Brayden Evans,Evans,Brayden,LF,Lamar University,LAM,730162432,Lamar,BBC,L,L,2,54,11,8,.250,.455,.250,.705,.000,18.2%,18.2%,1.00,0.0%,0.50,-,.333,66.7%,.354,-
1026,1258113536,N. Wang,Nick Wang,Wang,Nick,1B,Boston College,BC,227,Boston College,BBC,R,R,2,31,9,8,.250,.333,.375,.708,.125,22.2%,11.1%,2.00,0.0%,0.50,-,.333,66.7%,.315,-
1026,1250090752,H. Katschke,Hunter Katschke,Katschke,Hunter,RF,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,3,80,15,12,.250,.400,.750,1.150,.500,26.7%,13.3%,2.00,13.3%,1.33,6.00,.167,83.3%,.471,-
1026,1097665536,C. Mitchelle,Christian Mitchelle,Mitchelle,Christian,TWP,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,2,33,10,8,.250,.400,.250,.650,.000,0.0%,10.0%,0.00,0.0%,1.00,-,.250,62.5%,.320,0.0%
1026,1176049408,E. Meier,Evan Meier,Meier,Evan,CF,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,2,39,8,4,.250,.625,.500,1.125,.250,12.5%,50.0%,0.25,0.0%,1.50,-,.333,66.7%,.505,-
1026,1135898880,K. Lewis,Kade Lewis,Lewis,Kade,3B,Wake Forest University,WAKE,730373376,Wake Forest,BBC,L,R,2,25,9,8,.250,.333,.250,.583,.000,11.1%,11.1%,1.00,0.0%,0.00,-,.286,71.4%,.274,100.0%
1026,1238031872,J. Lambdin,Jake Lambdin,Lambdin,Jake,SS,Duke University,DUKE,730336256,Duke,BBC,R,R,4,64,15,12,.250,.400,.667,1.067,.417,20.0%,20.0%,1.00,6.7%,1.00,12.00,.250,75.0%,.441,100.0%
1026,1135888384,T. Howard,Tyler Howard,Howard,Tyler,RF,UC Davis,UCD,730153984,UC Davis,BBC,R,R,2,28,9,8,.250,.333,.250,.583,.000,33.3%,11.1%,3.00,0.0%,0.50,-,.400,60.0%,.274,-
1026,1143009280,M. Winslow,Macon Winslow,Winslow,Macon,C,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,3,66,14,8,.250,.571,.625,1.196,.375,0.0%,28.6%,0.00,7.1%,1.33,8.00,.143,71.4%,.511,0.0%
1026,1336579072,A. Gracia,AJ Gracia,Gracia,AJ,CF,University of Virginia,UVA,5415,Virginia,BBC,L,L,3,59,16,8,.250,.563,.250,.813,.000,0.0%,31.3%,0.00,0.0%,2.00,-,.222,66.7%,.420,-
1026,1092686080,H. Keen,Hunter Keen,Keen,Hunter,SS,Radford University,RAD,730267392,Radford,BBC,R,R,3,60,14,12,.250,.286,.333,.619,.083,7.1%,7.1%,1.00,0.0%,0.67,-,.250,66.7%,.266,-
1026,1203265280,P. Engskov,Patrick Engskov,Engskov,Patrick,SS,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,2,36,9,8,.250,.333,.250,.583,.000,11.1%,0.0%,-,0.0%,0.50,-,.286,57.1%,.278,100.0%
1026,1329021184,T. Marsh,Tanner Marsh,Marsh,Tanner,SS,Liberty University,LIB,730156288,Liberty,BBC,R,R,2,38,10,8,.250,.400,.500,.900,.250,0.0%,20.0%,0.00,0.0%,1.00,-,.250,62.5%,.386,100.0%
1026,1330702592,C. Capece,Connor Capece,Capece,Connor,C,Creighton University,CREI,730243840,Creighton,BBC,R,R,3,69,15,12,.250,.400,.250,.650,.000,20.0%,13.3%,1.50,0.0%,0.67,-,.333,55.6%,.319,-
1026,1184596736,C. Hoalcraft,Chris Hoalcraft,Hoalcraft,Chris,SS,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,4,85,18,16,.250,.333,.250,.583,.000,27.8%,5.6%,5.00,0.0%,0.50,-,.364,63.6%,.276,0.0%
1026,1153211136,T. Liolios,Trent Liolios,Liolios,Trent,1B,Tulane University,TULN,730354176,Tulane,BBC,L,R,2,44,10,8,.250,.400,.375,.775,.125,30.0%,20.0%,1.50,0.0%,0.50,-,.400,60.0%,.353,-
1026,1198650880,Z. Selfon,Zach Selfon,Selfon,Zach,IF,Bucknell University,BUCK,730214144,Bucknell,BBC,R,R,3,49,12,12,.250,.250,.250,.500,.000,8.3%,0.0%,-,0.0%,0.00,-,.273,63.6%,.222,-
1026,1279363840,A. Lafferty,Austin Lafferty,Lafferty,Austin,RF,University of Akron,AKR,540536064,Akron,BBC,R,R,3,51,13,12,.250,.308,.333,.641,.083,30.8%,7.7%,4.00,0.0%,1.00,-,.375,50.0%,.286,100.0%
1026,1085408256,A. Manning,Andrew Manning,Manning,Andrew,RF,U.S. Naval Academy,NAVY,508,Navy,BBC,L,R,3,39,10,8,.250,.400,.250,.650,.000,20.0%,20.0%,1.00,0.0%,0.67,-,.333,66.7%,.317,100.0%
1026,1255051520,T. Ellis,Tristan Ellis,Ellis,Tristan,3B,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,L,R,2,32,8,8,.250,.250,.500,.750,.250,62.5%,0.0%,-,0.0%,0.00,-,.667,33.3%,.313,-
1026,1135492608,P. Ward,Patrick Ward,Ward,Patrick,3B,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,R,R,2,27,8,8,.250,.250,.250,.500,.000,12.5%,0.0%,-,0.0%,0.50,-,.286,71.4%,.222,-
1026,1097554432,C. Marcellus,Chris Marcellus,Marcellus,Chris,C,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,2,36,10,8,.250,.400,.625,1.025,.375,0.0%,20.0%,0.00,10.0%,1.50,8.00,.143,85.7%,.431,-
1026,1099807744,T. Schmalzle,TJ Schmalzle,Schmalzle,TJ,CF,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,3,54,12,12,.250,.250,.333,.583,.083,33.3%,0.0%,-,0.0%,0.33,-,.375,62.5%,.252,-
1026,1152952832,D. Zirwas,Devan Zirwas,Zirwas,Devan,1B,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,L,L,2,38,9,8,.250,.333,.750,1.083,.500,22.2%,11.1%,2.00,11.1%,0.50,8.00,.200,80.0%,.442,-
1026,1279295744,G. Greger,Gavin Greger,Greger,Gavin,CF,Bryant University,BRY,730266880,Bryant,BBC,L,L,3,53,14,12,.250,.357,.250,.607,.000,21.4%,7.1%,3.00,0.0%,0.67,-,.333,66.7%,.292,100.0%
1026,1101468160,H. Johnson,Hasani Johnson,Johnson,Hasani,2B,Grambling State University,GRAM,5378,Grambling State,BBC,S,R,2,41,10,8,.250,.400,.375,.775,.125,30.0%,20.0%,1.50,0.0%,1.50,-,.400,60.0%,.353,100.0%
1026,1310320640,B. Blaser,Bryce Blaser,Blaser,Bryce,LF,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,L,R,2,44,10,8,.250,.400,.375,.775,.125,10.0%,20.0%,0.50,0.0%,1.00,-,.286,71.4%,.353,-
1026,1310831104,M. Russo,Matthew Russo,Russo,Matthew,1B,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,R,2,30,9,8,.250,.333,.250,.583,.000,22.2%,0.0%,-,0.0%,0.00,-,.333,66.7%,.278,-
1026,1152961280,E. Talt,Easton Talt,Talt,Easton,RF,Oregon State University,ORST,3111,Oregon State,BBC,L,R,2,28,9,8,.250,.333,.375,.708,.125,0.0%,11.1%,0.00,0.0%,1.00,-,.250,75.0%,.315,100.0%
1026,1189441024,M. Burroughs,Michael Burroughs,Burroughs,Michael,LF,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,2,40,11,8,.250,.455,.375,.830,.125,9.1%,0.0%,-,0.0%,0.50,-,.286,71.4%,.393,-
1026,1213027329,E. Willoughby,Ethan Willoughby,Willoughby,Ethan,3B,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,3,34,12,12,.250,.250,.250,.500,.000,16.7%,0.0%,-,0.0%,0.00,-,.300,70.0%,.222,-
1026,1263100160,R. Liddington,Robbie Liddington,Liddington,Robbie,1B,Texas Christian University,TCU,5045,TCU,BBC,R,L,2,48,8,8,.250,.250,.250,.500,.000,50.0%,0.0%,-,0.0%,0.00,-,.500,50.0%,.222,-
1026,1309418240,J. Counsell,Jack Counsell,Counsell,Jack,2B,Northwestern University,NW,730247680,Northwestern,BBC,R,R,2,34,8,8,.250,.250,.250,.500,.000,12.5%,0.0%,-,0.0%,0.00,-,.286,71.4%,.222,-
1026,1287354624,B. Guerin,Blake Guerin,Guerin,Blake,1B,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,2,36,9,8,.250,.333,.375,.708,.125,33.3%,11.1%,3.00,0.0%,1.50,-,.400,60.0%,.315,-
1026,1327585536,K. Langley,Kyle Langley,Langley,Kyle,LF,James Madison University,JMU,730340096,James Madison,BBC,L,L,2,31,8,4,.250,.571,.250,.821,.000,25.0%,37.5%,0.67,0.0%,0.50,-,.500,50.0%,.425,100.0%
1026,1195546880,C. Diggins,Chase Diggins,Diggins,Chase,2B,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,2,35,9,8,.250,.333,.250,.583,.000,22.2%,11.1%,2.00,0.0%,0.00,-,.333,66.7%,.274,-
1026,1123968768,J. Lobliner,Jayden Lobliner,Lobliner,Jayden,C,University of San Diego,USD,5320,San Diego,BBC,R,R,3,66,14,12,.250,.357,.333,.690,.083,28.6%,14.3%,2.00,0.0%,0.67,-,.375,62.5%,.316,100.0%
1026,1325149440,T. Crawford,Trystan Crawford,Crawford,Trystan,1B,Lehigh University,LEH,730333184,Lehigh,BBC,R,R,2,37,9,8,.250,.333,.625,.958,.375,33.3%,11.1%,3.00,11.1%,1.00,8.00,.250,50.0%,.401,-
1026,1080822528,J. Rodriguez,Jonny Rodriguez,Rodriguez,Jonny,1B,UNLV,UNLV,730161664,UNLV,BBC,L,L,3,54,13,12,.250,.308,.333,.641,.083,38.5%,0.0%,-,0.0%,0.33,-,.429,57.1%,.289,-
1026,1092992512,R. Kucherak,Ryan Kucherak,Kucherak,Ryan,SS,Northwestern University,NW,730247680,Northwestern,BBC,R,R,2,28,8,8,.250,.250,.250,.500,.000,25.0%,0.0%,-,0.0%,0.50,-,.333,66.7%,.222,-
1026,1189127680,S. Meier,Steven Meier,Meier,Steven,CF,Troy University,TROY,730378496,Troy,BBC,L,L,3,53,13,8,.250,.538,.625,1.163,.375,15.4%,30.8%,0.50,7.7%,1.67,8.00,.200,80.0%,.495,50.0%
1026,1087211520,C. Cuff,Connor Cuff,Cuff,Connor,3B,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,2,20,8,8,.250,.250,.500,.750,.250,37.5%,0.0%,-,0.0%,0.00,-,.400,60.0%,.313,-
1026,1080345344,K. Holm,Kai Holm,Holm,Kai,SS,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,2,28,9,8,.250,.250,.250,.500,.000,11.1%,0.0%,-,0.0%,0.00,-,.286,71.4%,.222,100.0%
1026,1108654336,B. Jones,Brogan Jones,Jones,Brogan,IF,Longwood University,LONG,730219264,Longwood,BBC,R,R,3,57,15,12,.250,.400,.750,1.150,.500,26.7%,13.3%,2.00,13.3%,1.00,6.00,.167,83.3%,.471,-
1026,1306795264,N. Bright,Noah Bright,Bright,Noah,C,Michigan State University,MSU,1551,Michigan State,BBC,R,R,2,29,9,8,.250,.333,.250,.583,.000,33.3%,0.0%,-,0.0%,0.00,-,.400,60.0%,.278,-
1026,1239309056,T. Fredo,Ty Fredo,Fredo,Ty,3B,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,R,R,2,42,9,8,.250,.333,.625,.958,.375,22.2%,11.1%,2.00,0.0%,0.50,-,.333,66.7%,.392,-
1026,1201266176,D. Howard,Drew Howard,Howard,Drew,3B,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,2,34,9,8,.250,.333,.250,.583,.000,11.1%,0.0%,-,0.0%,1.00,-,.286,71.4%,.278,-
1026,1296546816,C. Roche,Connor Roche,Roche,Connor,3B,Elon University,ELON,730252544,Elon,BBC,R,R,3,57,15,12,.250,.357,.250,.607,.000,33.3%,6.7%,5.00,0.0%,1.00,-,.429,57.1%,.292,-
1026,1301088001,R. Nedry,Robert Nedry,Nedry,Robert,IF,UNC Charlotte,CHAR,730214400,Charlotte,BBC,L,R,3,47,10,8,.250,.400,.250,.650,.000,20.0%,20.0%,1.00,0.0%,1.00,-,.333,66.7%,.317,-
1026,1279488512,K. Wagner,Kai Wagner,Wagner,Kai,3B,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,L,R,2,52,11,8,.250,.455,.250,.705,.000,18.2%,27.3%,0.67,0.0%,0.00,-,.333,50.0%,.351,-
1026,1212108544,M. Eckelman,Mason Eckelman,Eckelman,Mason,C,The Ohio State University,OSU,4144,Ohio State,BBC,L,R,3,22,13,12,.250,.308,.417,.724,.167,23.1%,7.7%,3.00,0.0%,0.67,-,.333,66.7%,.312,-
1026,1262667264,M. Levu,Mulivai Levu,Levu,Mulivai,1B,UCLA,UCLA,5048,UCLA,BBC,L,R,2,35,10,8,.250,.400,.250,.650,.000,0.0%,20.0%,0.00,0.0%,1.00,-,.250,75.0%,.317,-
1026,1227066624,G. Mee,Grady Mee,Mee,Grady,2B,Kent State University,KENT,730315008,Kent State,BBC,S,R,2,34,9,8,.250,.333,.500,.833,.250,44.4%,11.1%,4.00,0.0%,0.00,-,.500,50.0%,.352,-
1026,1179735552,M. Buettenback,Max Buettenback,Buettenback,Max,RF,University of Nebraska,NEB,4865,Nebraska,BBC,L,R,2,28,9,8,.250,.333,.375,.708,.125,22.2%,11.1%,2.00,0.0%,1.50,-,.333,50.0%,.315,-
1026,1153320448,B. Sylvester,Beau Sylvester,Sylvester,Beau,C,University of Arizona,ARIZ,232,Arizona,BBC,R,R,2,38,8,8,.250,.250,.375,.625,.125,50.0%,0.0%,-,0.0%,1.00,-,.500,50.0%,.267,-
1026,1322859776,K. Jordan,Kazuya Jordan,Jordan,Kazuya,2B,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,4,48,14,8,.250,.571,.375,.946,.125,14.3%,28.6%,0.50,0.0%,1.75,-,.333,50.0%,.456,100.0%
1026,1238157568,E. Ickes,Elijah Ickes,Ickes,Elijah,SS,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,2,15,9,8,.250,.250,.250,.500,.000,33.3%,0.0%,-,0.0%,0.50,-,.400,60.0%,.222,100.0%
1026,1141524224,M. Henning,Mark Henning,Henning,Mark,1B,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,L,R,2,37,10,4,.250,.700,.500,1.200,.250,0.0%,50.0%,0.00,0.0%,2.00,-,.250,75.0%,.547,100.0%
1026,1332976384,N. LoBello,Nick LoBello,LoBello,Nick,OF,Towson University,TOWS,730318336,Towson,BBC,R,R,3,20,10,8,.250,.400,.250,.650,.000,20.0%,20.0%,1.00,0.0%,1.33,-,.333,66.7%,.317,100.0%
1026,1153710080,J. Davis,Jayden Davis,Davis,Jayden,2B,Penn State University,PSU,5326,Penn State,BBC,R,R,1,11,4,4,.250,.250,.250,.500,.000,0.0%,0.0%,-,0.0%,0.00,-,.250,75.0%,.222,-
1026,1239571456,D. Brown,Darrius Brown,Brown,Darrius,CF,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,R,R,2,16,9,8,.250,.333,.375,.708,.125,22.2%,11.1%,2.00,0.0%,1.00,-,.333,66.7%,.315,-
1026,1254915584,M. Pena,Matthew Pena,Pena,Matthew,1B,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,L,2,33,8,4,.250,.625,1.000,1.625,.750,0.0%,37.5%,0.00,12.5%,0.50,4.00,.000,100.0%,.606,-
