Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%
30,1302783489,J. Perez,Jaime Perez,Perez,Jaime,C,Grand Canyon University,GC,5310,Grand Canyon,BBC,R,R,1,8,4,3,.667,.750,1.000,1.750,.333,0.0%,0.0%,-,0.0%,3.00,-,.667,33.3%,.716,-
30,1279356416,C. Ladehoff,Cade Ladehoff,Ladehoff,Cade,1B,University of Michigan,MICH,2290,Michigan,BBC,R,R,2,34,9,6,.667,.778,1.167,1.944,.500,0.0%,22.2%,0.00,0.0%,1.00,-,.667,33.3%,.748,-
30,1231861760,J. Fitzgerald,JW Fitzgerald,Fitzgerald,JW,LF,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,L,L,2,25,7,6,.667,.667,.833,1.500,.167,14.3%,0.0%,-,0.0%,1.00,-,.800,20.0%,.652,-
30,1786134927,L. Ashby,Lenny Junior Ashby,Ashby,Lenny Junior,OF,University of New Mexico,UNM,730153472,New Mexico,BBC,L,L,3,57,14,9,.667,.786,1.111,1.897,.444,0.0%,28.6%,0.00,7.1%,2.33,9.00,.625,37.5%,.739,-
30,1292628036,A. Martinez,Andrey Martinez,Martinez,Andrey,RF,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,2,17,8,6,.667,.750,.833,1.583,.167,12.5%,25.0%,0.50,0.0%,1.50,-,.800,20.0%,.663,0.0%
30,1746936435,M. Bailey,Myles Bailey,Bailey,Myles,1B,Florida State University,FSU,101,Florida State,BBC,L,R,2,42,9,6,.667,.778,1.167,1.944,.500,22.2%,33.3%,0.67,11.1%,1.50,6.00,1.000,0.0%,.753,-
30,1556185939,A. Hernandez,Alex Hernandez,Hernandez,Alex,TWP,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,3,35,14,12,.667,.714,1.000,1.714,.333,0.0%,7.1%,0.00,7.1%,1.67,12.00,.636,36.4%,.716,100.0%
30,1149014054,C. Cymbalista,Colin Cymbalista,Cymbalista,Colin,C,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,1,16,4,3,.667,.750,1.667,2.417,1.000,25.0%,25.0%,1.00,25.0%,1.00,3.00,1.000,0.0%,.903,-
30,1843543813,C. Gunderson,Cody Gunderson,Gunderson,Cody,1B,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,3,42,13,9,.667,.692,1.556,2.248,.889,7.7%,7.7%,1.00,15.4%,1.67,4.50,.571,42.9%,.806,-
30,1753456456,J. Swift,Julian Swift,Swift,Julian,3B,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,3,31,13,9,.667,.692,.889,1.581,.222,7.7%,15.4%,0.50,0.0%,2.00,-,.667,33.3%,.629,100.0%
30,1234177521,M. Ineich,Matt Ineich,Ineich,Matt,2B,West Virginia University,WVU,5327,West Virginia,BBC,L,R,3,69,16,9,.667,.813,1.000,1.813,.333,6.3%,25.0%,0.25,0.0%,1.67,-,.750,25.0%,.709,0.0%
30,1245581451,J. Weaver,Jake Weaver,Weaver,Jake,LF,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,L,R,1,16,4,3,.667,.750,1.667,2.417,1.000,0.0%,25.0%,0.00,25.0%,3.00,3.00,.500,50.0%,.903,-
30,1542669578,R. Schwartz,Ryan Schwartz,Schwartz,Ryan,LF,University of Kentucky,UK,5362,Kentucky,BBC,R,R,3,55,14,9,.667,.786,.889,1.675,.222,7.1%,21.4%,0.33,0.0%,1.67,-,.750,25.0%,.685,100.0%
30,1899154865,F. Adamski,Frank Adamski,Adamski,Frank,IF,Towson University,TOWS,730318336,Towson,BBC,R,R,3,25,13,9,.667,.769,.667,1.436,.000,7.7%,23.1%,0.33,0.0%,1.00,-,.750,25.0%,.626,100.0%
30,1257798379,J. Arquette,Josh Arquette,Arquette,Josh,IF,UTSA,UTSA,730373120,UTSA,BBC,R,R,2,21,7,6,.667,.571,1.333,1.905,.667,14.3%,0.0%,-,14.3%,1.00,6.00,.600,40.0%,.722,-
30,1316310741,S. Barrett,Sloan Barrett,Barrett,Sloan,IF,Murray State University,MURR,730188032,Murray State,BBC,L,R,1,11,5,3,.667,.800,.667,1.467,.000,0.0%,40.0%,0.00,0.0%,4.00,-,.667,33.3%,.633,100.0%
30,1372067528,B. Kellner,Boston Kellner,Kellner,Boston,IF,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,2,46,10,6,.667,.800,1.333,2.133,.667,0.0%,40.0%,0.00,0.0%,2.00,-,.667,33.3%,.780,-
30,1268606020,A. Pack Jr.,Anthony Pack Jr.,Pack Jr.,Anthony,OF,University of Texas,TEX,245,Texas,BBC,L,L,2,38,8,6,.667,.750,1.000,1.750,.333,12.5%,25.0%,0.50,0.0%,2.00,-,.800,20.0%,.709,100.0%
52,1174787840,C. Lunsford,Colby Lunsford,Lunsford,Colby,SS,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,R,R,3,40,12,11,.636,.667,1.364,2.030,.727,25.0%,0.0%,-,16.7%,1.33,5.50,.833,16.7%,.829,100.0%
52,1287365120,E. Richter,Easton Richter,Richter,Easton,2B,University of Minnesota,MINN,4864,Minnesota,BBC,L,R,2,41,11,11,.636,.636,1.091,1.727,.455,0.0%,0.0%,-,9.1%,1.00,11.00,.600,40.0%,.734,100.0%
52,1096344505,C. Bland,Cermodrick Bland,Bland,Cermodrick,RF,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,3,62,15,11,.636,.733,.909,1.642,.273,13.3%,20.0%,0.67,0.0%,2.33,-,.778,22.2%,.672,100.0%
52,1792414126,A. Grabau,Anthony Grabau,Grabau,Anthony,SS,Fordham University,FOR,730324992,Fordham,BBC,L,R,3,44,12,11,.636,.667,.727,1.394,.091,8.3%,8.3%,1.00,0.0%,1.67,-,.700,30.0%,.606,100.0%
52,1041720511,C. Wensley,Casey Wensley,Wensley,Casey,IF,Bryant University,BRY,730266880,Bryant,BBC,L,R,3,59,13,11,.636,.667,.909,1.576,.273,7.7%,7.7%,1.00,7.7%,1.67,11.00,.667,33.3%,.670,100.0%
57,1256292608,N. Baumbach,Nico Baumbach,Baumbach,Nico,IF,Little Rock,UALR,730217472,Little Rock,BBC,R,R,2,38,10,8,.625,.700,1.125,1.825,.500,0.0%,10.0%,0.00,10.0%,1.50,8.00,.571,42.9%,.736,-
57,1152863744,B. Hot,Bayram Hot,Hot,Bayram,2B,University of Louisville,LOU,5467,Louisville,BBC,R,R,2,24,9,8,.625,.667,.625,1.292,.000,11.1%,0.0%,-,0.0%,0.50,-,.714,28.6%,.573,50.0%
57,1213318656,M. Whelehan,Mike Whelehan,Whelehan,Mike,2B,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,2,23,8,8,.625,.625,.625,1.250,.000,12.5%,0.0%,-,0.0%,1.00,-,.714,28.6%,.554,100.0%
57,1184655360,S. Seidel,Sam Seidel,Seidel,Sam,2B,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,L,R,3,62,13,8,.625,.769,1.250,2.019,.625,7.7%,38.5%,0.20,7.7%,0.67,8.00,.667,33.3%,.753,80.0%
57,1138590720,E. Cloyd,Evan Cloyd,Cloyd,Evan,1B,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,2,38,10,8,.625,.700,1.000,1.700,.375,10.0%,10.0%,1.00,10.0%,1.50,8.00,.667,33.3%,.700,100.0%
57,1275112448,P. Moutzouridis,PJ Moutzouridis,Moutzouridis,PJ,SS,Arizona State University,ASU,5035,Arizona State,BBC,R,R,2,26,9,8,.625,.625,.625,1.250,.000,0.0%,0.0%,-,0.0%,1.50,-,.625,37.5%,.554,100.0%
57,1153440768,I. Schmidly,Ike Schmidly,Schmidly,Ike,RF,James Madison University,JMU,730340096,James Madison,BBC,R,R,2,31,8,8,.625,.625,.875,1.500,.250,25.0%,0.0%,-,0.0%,0.50,-,.833,16.7%,.645,100.0%
57,1336108288,M. Stallings,Maverick Stallings,Stallings,Maverick,2B,Old Dominion University,ODU,3090,Old Dominion,BBC,R,R,2,51,11,8,.625,.727,.750,1.477,.125,18.2%,18.2%,1.00,0.0%,0.00,-,.833,16.7%,.629,-
57,1238257664,E. Garza,Eddie Garza,Garza,Eddie,2B,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,2,23,8,8,.625,.625,.750,1.375,.125,0.0%,0.0%,-,0.0%,1.00,-,.625,37.5%,.600,-
57,1727649062,T. Marthilijohni,Ty Marthilijohni,Marthilijohni,Ty,C,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,R,R,2,42,10,8,.625,.700,.625,1.325,.000,20.0%,20.0%,1.00,0.0%,1.00,-,.833,16.7%,.583,-
57,1894204486,I. Guanzon,Ian Guanzon,Guanzon,Ian,IF,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,2,24,10,8,.625,.556,.625,1.181,.000,10.0%,0.0%,-,0.0%,1.00,-,.625,37.5%,.492,-
57,1596263916,B. Brock,Brendan Brock,Brock,Brendan,C,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,2,28,9,8,.625,.667,1.250,1.917,.625,11.1%,11.1%,1.00,11.1%,2.50,8.00,.667,33.3%,.778,-
57,1212320173,B. Wright,Brennon Wright,Wright,Brennon,IF,University of South Alabama,USA,730298880,South Alabama,BBC,L,R,2,38,10,8,.625,.700,.875,1.575,.250,10.0%,20.0%,0.50,0.0%,0.00,-,.714,28.6%,.656,100.0%
57,1375929352,J. Creel,Jhett Creel,Creel,Jhett,C,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,L,R,3,54,14,8,.625,.643,.750,1.393,.125,0.0%,28.6%,0.00,0.0%,2.33,-,.500,40.0%,.542,-
71,1281514496,P. Airhart,Parker Airhart,Airhart,Parker,C,Murray State University,MURR,730188032,Murray State,BBC,R,R,1,7,5,5,.600,.600,.600,1.200,.000,20.0%,0.0%,-,0.0%,1.00,-,.750,25.0%,.532,-
71,1096596224,Z. Skinner,Zak Skinner,Skinner,Zak,3B,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,2,41,9,5,.600,.667,1.200,1.867,.600,0.0%,33.3%,0.00,0.0%,1.50,-,.500,50.0%,.646,100.0%
71,1310336256,D. Lanphere,Drew Lanphere,Lanphere,Drew,C,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,2,31,7,5,.600,.714,.800,1.514,.200,14.3%,28.6%,0.50,0.0%,1.50,-,.750,25.0%,.631,-
71,1162347776,A. Sosa,Alex Sosa,Sosa,Alex,C,University of Miami,MIA,236,Miami,BBC,L,R,2,39,10,10,.600,.600,1.500,2.100,.900,0.0%,0.0%,-,30.0%,3.00,3.33,.429,42.9%,.874,-
71,1283261184,R. Perez,Ryan Perez,Perez,Ryan,LF,La Salle University,LA S,730183680,La Salle,BBC,L,R,2,15,7,5,.600,.714,1.400,2.114,.800,14.3%,28.6%,0.50,14.3%,2.00,5.00,.667,33.3%,.794,-
