# Document parsed from: Copy_of_Rate_7_2.numbers

## Page 1

|playerFullName|player|playerFirstName|pos|newestTeamName|newestTeamLocation|batsHand|throwsHand|Age|AB|BA|OBP|SLG|OPS|ISO|
|Cam Cannarella|Cannarella|Cam|CF|Clemson University|Clemson|L|R|22|232|0.353|0.479|0.53|1.01|0.177|
|Cooper Blauser|Blauser|Cooper|2B|Jacksonville State University|Jacksonville State|R|R|22|217|0.3|0.433|0.484|0.917|0.184|
|Vance Sheahan|Sheahan|Vance|SS|University of South Carolina Upstate|South Carolina Upstate|R|R|22|268|0.325|0.395|0.519|0.914|0.194|
|Kane Kepley|Kepley|Kane|CF|University of North Carolina|North Carolina|L|L|21|234|0.291|0.451|0.444|0.896|0.154|
|Cayden Brumbaugh|Brumbaugh|Cayden|2B|University of Nebraska|Nebraska|R|R|22|246|0.309|0.388|0.451|0.839|0.142|
|Daniel Cuvet|Cuvet|Daniel|3B|University of Miami|Miami|R|R|20|226|0.372|0.45|0.708|1.158|0.336|
|Luke Stevenson|Stevenson|Luke|C|University of North Carolina|North Carolina|L|R|21|223|0.251|0.414|0.552|0.965|0.3|
|Gavin Gallaher|Gallaher|Gavin|3B|University of North Carolina|North Carolina|R|R|21|237|0.325|0.409|0.603|1.013|0.278|
|Alex Madera|Madera|Alex|SS|University of North Carolina|North Carolina|L|R|25|226|0.332|0.432|0.403|0.834|0.071|
|Jackson Van De Brake|Van De Brake|Jackson|2B|University of North Carolina|North Carolina|R|R|23|232|0.31|0.415|0.509|0.924|0.198|
|James Quinn-Irons|Quinn-Irons|James|CF|George Mason University|George Mason|R|R|0|242|0.413|0.52|0.723|1.243|0.31|
|Jake Butler|Butler|Jake|3B|George Mason University|George Mason|R|R|21|229|0.306|0.411|0.402|0.813|0.096|
|Dom Listi|Listi|Dom|LF|Clemson University|Clemson|L|L|0|204|0.309|0.507|0.466|0.973|0.157|
|Caleb Johnson|Johnson|Caleb|SS|Jacksonville State University|Jacksonville State|S|R|22|228|0.254|0.351|0.377|0.728|0.123|
|Marek Houston|Houston|Marek|SS|Wake Forest University|Wake Forest|R|R|21|243|0.354|0.458|0.597|1.055|0.243|
|Hunter Stokely|Stokely|Hunter|1B|University of North Carolina|North Carolina|L|R|24|238|0.324|0.41|0.555|0.965|0.231|
|Aiden Taurek|Taurek|Aiden|LF|Saint Mary's College (CA)|Saint Mary's|R|R|22|235|0.328|0.41|0.57|0.98|0.243|
|Ryan Pierce|Pierce|Ryan|3B|Saint Mary's College (CA)|Saint Mary's|R|R|24|244|0.295|0.353|0.5|0.853|0.205|
|Tanner Griffith|Griffith|Tanner|CF|Saint Mary's College (CA)|Saint Mary's|L|R|0|187|0.246|0.411|0.326|0.737|0.08|
|Bobby Boser|Boser|Bobby|3B|University of Florida|Florida|R|R|23|238|0.336|0.437|0.613|1.05|0.277|
|Landon Frei|Frei|Landon|2B|Utah Valley University|Utah Valley|R|R|23|246|0.285|0.391|0.545|0.936|0.26|
|Owen Hull|Hull|Owen|RF|George Mason University|George Mason|L|R|0|237|0.367|0.474|0.557|1.031|0.19|
|Diego Castellanos|Castellanos|Diego|RF|Saint Mary's College (CA)|Saint Mary's|L|L|21|209|0.311|0.414|0.488|0.902|0.177|
|Troy Sudbrook|Sudbrook|Troy|3B|University of Toledo|Toledo|L|R|0|244|0.279|0.355|0.443|0.797|0.164|
|Cooper Chaplain|Chaplain|Cooper|2B|Little Rock|Little Rock|L|R|0|225|0.311|0.424|0.44|0.864|0.129|
|Ryan Geck|Geck|Ryan|1B|Little Rock|Little Rock|R|R|22|248|0.294|0.355|0.435|0.791|0.141|
|Braden Burress|Burress|Braden|LF|East Carolina University|East Carolina|R|R|20|211|0.389|0.488|0.498|0.986|0.109|
|Owen Clyne|Clyne|Owen|SS|George Mason University|George Mason|L|R|21|246|0.341|0.429|0.447|0.876|0.106|
|Lucas Alberti|Alberti|Lucas|LF|George Mason University|George Mason|R|R|0|234|0.333|0.455|0.462|0.916|0.128|
|Hunter Warren|Warren|Hunter|2B|Wright State University|Wright State|R|R|0|250|0.328|0.423|0.408|0.831|0.08|
|Tyson Bass|Bass|Tyson|RF|University of North Carolina|North Carolina|R|R|23|233|0.292|0.393|0.485|0.878|0.193|
|Dom Longo|Longo|Dom|3B|Utah Valley University|Utah Valley|R|R|0|243|0.305|0.397|0.535|0.932|0.23|
|Dante Vachini|Vachini|Dante|LF|Cal Poly|Cal Poly|L|R|0|223|0.314|0.389|0.439|0.828|0.126|
|Nate Castellon|Castellon|Nate|SS|Cal Poly|Cal Poly|R|R|20|226|0.354|0.411|0.473|0.885|0.119|
|Luke Iverson|Iverson|Luke|RF|Utah Valley University|Utah Valley|S|R|21|237|0.283|0.442|0.544|0.986|0.262|
|Murf Gray|Gray|Murf|3B|Fresno State|Fresno State|R|R|22|241|0.324|0.398|0.639|1.037|0.315|
|Bobby Blandford|Blandford|Bobby|RF|Fresno State|Fresno State|L|L|23|238|0.311|0.391|0.601|0.992|0.29|
|Brooks Bryan|Bryan|Brooks|C|Troy University|Troy|L|R|21|229|0.279|0.399|0.533|0.931|0.253|
|Isaiah Jackson|Jackson|Isaiah|CF|Arizona State University|Arizona State|L|R|21|216|0.31|0.402|0.63|1.032|0.319|
|Jacob Tobias|Tobias|Jacob|1B|Arizona State University|Arizona State|L|R|23|238|0.303|0.38|0.496|0.876|0.193|
|Dustin Mercer|Mercer|Dustin|RF|Murray State University|Murray State|L|L|24|259|0.351|0.434|0.479|0.913|0.127|
|Ty Rhoades|Rhoades|Ty|3B|Little Rock|Little Rock|L|R|0|244|0.299|0.362|0.471|0.833|0.172|
|Carson Kerce|Kerce|Carson|3B|Georgia Tech|Georgia Tech|R|R|21|198|0.308|0.407|0.465|0.871|0.157|
|Drew Burress|Burress|Drew|CF|Georgia Tech|Georgia Tech|R|R|21|228|0.333|0.469|0.693|1.162|0.36|
|Caden Konczak|Konczak|Caden|RF|University of Toledo|Toledo|L|R|0|229|0.306|0.419|0.541|0.961|0.236|
|Landon Godsey|Godsey|Landon|1B|Belmont University|Belmont|R|R|0|225|0.311|0.407|0.591|0.998|0.28|
|Cam Maldonado|Maldonado|Cam|CF|Northeastern University|Northeastern|R|R|22|223|0.35|0.467|0.628|1.095|0.278|
|Jaxon Willits|Willits|Jaxon|SS|University of Oklahoma|Oklahoma|S|R|21|222|0.302|0.409|0.495|0.904|0.194|
|Easton Carmichael|Carmichael|Easton|C|University of Oklahoma|Oklahoma|R|R|22|243|0.329|0.398|0.613|1.011|0.284|
|Kade Lewis|Lewis|Kade|3B|Wake Forest University|Wake Forest|L|R|20|226|0.376|0.482|0.602|1.084|0.226|
|Ethan Hedges|Hedges|Ethan|TWP|University of Southern California|USC|R|R|21|231|0.346|0.462|0.619|1.081|0.273|
|Wallace Clark|Clark|Wallace|SS|Duke University|Duke|S|R|23|225|0.307|0.478|0.507|0.985|0.2|
|AJ Gracia|Gracia|AJ|CF|Duke University|Duke|L|L|21|215|0.293|0.449|0.558|1.007|0.265|
|Andrew Ciufo|Ciufo|Andrew|SS|Clemson University|Clemson|R|R|25|194|0.263|0.378|0.418|0.795|0.155|
|Sebastian Alexander|Alexander|Sebastian|LF|Coastal Carolina University|Coastal Carolina|R|R|24|217|0.318|0.426|0.521|0.947|0.203|
|Ryan Wynn|Wynn|Ryan|SS|Wofford College|Wofford|R|R|21|242|0.331|0.413|0.492|0.905|0.161|
|Ethan Lizama|Lizama|Ethan|RF|Western Kentucky University|Western Kentucky|L|L|22|229|0.336|0.407|0.646|1.053|0.31|
|Eric Genther|Genther|Eric|RF|University of Rhode Island|Rhode Island|L|R|23|238|0.361|0.478|0.584|1.062|0.223|
|DJ Perron|Perron|DJ|1B|University of Rhode Island|Rhode Island|R|R|25|210|0.276|0.407|0.543|0.95|0.267|
|Brandon Nigh|Nigh|Brandon|SS|Oakland University|Oakland|R|R|22|216|0.264|0.399|0.426|0.825|0.162|
|Carter Hain|Hain|Carter|1B|Oakland University|Oakland|R|R|23|230|0.239|0.33|0.4|0.73|0.161|
|Brady Counsell|Counsell|Brady|LF|University of Kansas|Kansas|R|R|22|220|0.259|0.378|0.473|0.851|0.214|
|Vahn Lackey|Lackey|Vahn|C|Georgia Tech|Georgia Tech|R|R|20|222|0.347|0.421|0.5|0.921|0.153|
|Evan Dempsey|Dempsey|Evan|TWP|Florida Gulf Coast University|Florida Gulf Coast|L|R|20|230|0.309|0.393|0.435|0.828|0.126|
|Mac Moise|Moise|Mac|C|Florida Gulf Coast University|Florida Gulf Coast|R|R|24|193|0.223|0.405|0.383|0.789|0.161|
|Justin Stransky|Stransky|Justin|C|Fresno State|Fresno State|R|R|23|237|0.316|0.401|0.523|0.924|0.207|
|Drew Collins|Collins|Drew|LF|Jacksonville State University|Jacksonville State|L|R|23|232|0.31|0.415|0.5|0.915|0.19|
|Juan Cruz|Cruz|Juan|1B|Alabama State University|Alabama State|R|R|21|255|0.42|0.481|0.69|1.172|0.271|
|Michael Brooks|Brooks|Michael|3B|University of Kansas|Kansas|R|R|23|209|0.273|0.423|0.464|0.887|0.191|
|Luke Leto|Leto|Luke|CF|University of Toledo|Toledo|L|R|22|208|0.279|0.381|0.471|0.852|0.192|
|Ty Dalley|Dalley|Ty|RF|Mercer University|Mercer|L|R|21|245|0.273|0.352|0.588|0.94|0.314|
|Jack Winnay|Winnay|Jack|1B|Wake Forest University|Wake Forest|R|R|22|226|0.296|0.416|0.571|0.987|0.274|
|Will Vierling|Vierling|Will|C|Murray State University|Murray State|L|R|22|234|0.312|0.415|0.53|0.945|0.218|
|Grant Hussey|Hussey|Grant|1B|West Virginia University|West Virginia|L|R|22|195|0.272|0.36|0.451|0.811|0.179|
|Phoenix Call|Call|Phoenix|2B|UCLA|UCLA|R|R|21|199|0.256|0.349|0.342|0.691|0.085|
|Ely Brown|Brown|Ely|CF|Mercer University|Mercer|L|L|0|223|0.318|0.457|0.399|0.857|0.081|
|Blake Barton|Barton|Blake|LF|Belmont University|Belmont|R|R|22|221|0.294|0.388|0.448|0.836|0.154|
|Ty Allen|Allen|Ty|RF|Belmont University|Belmont|R|R|21|232|0.323|0.402|0.534|0.937|0.211|
|Jonathan Vastine|Vastine|Jonathan|SS|Vanderbilt University|Vanderbilt|L|R|23|196|0.27|0.358|0.449|0.807|0.179|
|Jaylen Hernandez|Hernandez|Jaylen|LF|Winthrop University|Winthrop|L|R|21|220|0.314|0.469|0.486|0.956|0.173|
|JP Peltier|Peltier|JP|LF|Wright State University|Wright State|R|R|0|234|0.303|0.391|0.628|1.019|0.325|
|Bryce Martin-Grudzielanek|Martin-Grudzielanek|Bryce|SS|University of Southern California|USC|R|R|22|238|0.294|0.364|0.433|0.797|0.139|
|Kolby Branch|Branch|Kolby|SS|University of Georgia|Georgia|R|R|23|218|0.303|0.398|0.537|0.935|0.234|
|Slate Alford|Alford|Slate|3B|University of Georgia|Georgia|R|R|23|242|0.331|0.44|0.649|1.089|0.318|
|Carson Hornung|Hornung|Carson|RF|Jacksonville State University|Jacksonville State|L|R|22|206|0.291|0.434|0.451|0.885|0.16|
|Cole Cahill|Cahill|Cole|1B|University of Toledo|Toledo|L|L|21|225|0.293|0.348|0.382|0.73|0.089|
|Brant Baughcum|Baughcum|Brant|3B|Mercer University|Mercer|R|R|22|225|0.32|0.415|0.502|0.917|0.182|
|Cam Kozeal|Kozeal|Cam|1B|University of Arkansas|Arkansas|L|R|21|231|0.333|0.386|0.606|0.992|0.273|
|Jesus Vanegas|Vanegas|Jesus|2B|Bethune-Cookman University|Bethune-Cookman|R|R|0|221|0.285|0.377|0.566|0.943|0.281|
|Brendan Lawson|Lawson|Brendan|1B|University of Florida|Florida|L|R|20|224|0.317|0.417|0.522|0.939|0.205|
|Charlie Davis|Davis|Charlie|2B|Belmont University|Belmont|L|R|0|254|0.315|0.374|0.421|0.795|0.106|
|Riley Nelson|Nelson|Riley|1B|Vanderbilt University|Vanderbilt|L|R|22|215|0.344|0.45|0.526|0.976|0.181|
|Ace Williamson|Williamson|Ace|CF|Jacksonville State University|Jacksonville State|L|R|22|218|0.261|0.344|0.436|0.78|0.174|
|Max Galvin|Galvin|Max|LF|University of Miami|Miami|L|L|23|232|0.31|0.369|0.491|0.86|0.181|
|Dominic Decker|Decker|Dominic|2B|Murray State University|Murray State|L|R|0|211|0.351|0.496|0.464|0.961|0.114|
|Conner Cunningham|Cunningham|Conner|SS|Murray State University|Murray State|L|R|20|190|0.247|0.388|0.432|0.82|0.184|
|Colin Yeaman|Yeaman|Colin|SS|UC Irvine|UC Irvine|R|R|21|247|0.328|0.44|0.579|1.019|0.251|
|Dawson Willis|Willis|Dawson|3B|University of Oklahoma|Oklahoma|R|R|21|207|0.232|0.315|0.372|0.687|0.14|
|Kyle Branch|Branch|Kyle|2B|University of Oklahoma|Oklahoma|R|R|21|222|0.288|0.357|0.365|0.722|0.077|
|Scott Newman|Newman|Scott|CF|University of South Carolina Upstate|South Carolina Upstate|R|L|22|237|0.3|0.41|0.582|0.992|0.283|
|Andrew Detlefsen|Detlefsen|Andrew|LF|UTSA|UTSA|R|R|21|229|0.31|0.418|0.559|0.977|0.249|
|Sawyer Smith|Smith|Sawyer|SS|University of Kansas|Kansas|L|R|23|207|0.275|0.38|0.464|0.844|0.188|
|Sean Darnell|Darnell|Sean|2B|Troy University|Troy|L|R|22|243|0.288|0.385|0.444|0.829|0.156|
|Ryan Wideman|Wideman|Ryan|CF|Western Kentucky University|Western Kentucky|R|R|22|244|0.398|0.466|0.652|1.118|0.254|
|Gabe Natividad|Natividad|Gabe|2B|Winthrop University|Winthrop|R|R|21|222|0.347|0.486|0.518|1.004|0.171|
|Nathan Humphreys|Humphreys|Nathan|CF|Dallas Baptist University|Dallas Baptist|L|R|23|224|0.353|0.457|0.679|1.135|0.326|
|Grant Jay|Jay|Grant|C|Dallas Baptist University|Dallas Baptist|R|R|22|220|0.309|0.437|0.655|1.091|0.345|
|Michael Dattalo|Dattalo|Michael|3B|Dallas Baptist University|Dallas Baptist|R|R|22|223|0.318|0.433|0.435|0.868|0.117|
|Jeriah Lewis|Lewis|Jeriah|CF|San Jose State University|San Jose State|L|R|24|219|0.251|0.346|0.489|0.835|0.237|
|Justin Lebron|Lebron|Justin|SS|University of Alabama|Alabama|R|R|21|231|0.316|0.421|0.636|1.058|0.32|
|Will Hodo|Hodo|Will|1B|University of Alabama|Alabama|L|R|23|205|0.283|0.425|0.576|1|0.293|
|Alex Fernandes|Fernandes|Alex|RF|San Jose State University|San Jose State|L|R|23|216|0.361|0.447|0.509|0.956|0.148|
|Elijah Vogelsong|Vogelsong|Elijah|LF|Marshall University|Marshall|L|L|0|186|0.247|0.431|0.419|0.851|0.172|
|Cade Parker|Parker|Cade|SS|Georgia Southern University|Georgia Southern|R|R|24|208|0.236|0.322|0.476|0.798|0.24|
|Josh Tate|Tate|Josh|CF|Georgia Southern University|Georgia Southern|R|R|22|246|0.362|0.437|0.606|1.042|0.244|
|Brandon Compton|Compton|Brandon|LF|Arizona State University|Arizona State|L|L|22|214|0.271|0.379|0.486|0.865|0.215|
|Will Edmunson|Edmunson|Will|RF|Oral Roberts University|Oral Roberts|R|R|23|251|0.319|0.394|0.466|0.861|0.147|
|Alex Seguine|Seguine|Alex|SS|Little Rock|Little Rock|R|R|0|225|0.258|0.366|0.342|0.708|0.084|
|Deric Fabian|Fabian|Deric|SS|Auburn University|Auburn|R|R|23|197|0.234|0.339|0.36|0.699|0.127|
|John Bay|Bay|John|CF|Austin Peay State University|Austin Peay|R|R|24|224|0.357|0.505|0.768|1.273|0.411|
|Gus Freeman|Freeman|Gus|1B|Austin Peay State University|Austin Peay|R|R|25|208|0.313|0.475|0.529|1.004|0.216|
|Cameron Nickens|Nickens|Cameron|LF|Austin Peay State University|Austin Peay|R|R|22|236|0.419|0.519|0.767|1.286|0.347|
|Jason Walk|Walk|Jason|CF|University of Oklahoma|Oklahoma|S|R|20|221|0.267|0.386|0.475|0.861|0.208|
|Connor Misch|Misch|Connor|1B|Xavier University|Xavier|R|L|22|198|0.333|0.485|0.47|0.955|0.136|
|Jake Lambdin|Lambdin|Jake|SS|Xavier University|Xavier|R|R|21|220|0.259|0.399|0.364|0.762|0.105|
|Carter Hendrickson|Hendrickson|Carter|LF|Xavier University|Xavier|R|L|23|219|0.283|0.43|0.438|0.868|0.155|
|Avery Neaves|Neaves|Avery|LF|College of Charleston|College of Charleston|R|R|0|213|0.258|0.407|0.432|0.839|0.174|
|Will Baumhofer|Baumhofer|Will|RF|College of Charleston|College of Charleston|L|R|0|213|0.319|0.431|0.432|0.863|0.113|
|Dylan Johnson|Johnson|Dylan|C|College of Charleston|College of Charleston|R|R|22|213|0.291|0.388|0.469|0.858|0.178|
|Dariyan Pendergrass|Pendergrass|Dariyan|CF|College of Charleston|College of Charleston|L|L|23|224|0.295|0.397|0.429|0.826|0.134|
|Jacob Jarrell|Jarrell|Jacob|C|Clemson University|Clemson|R|R|23|199|0.261|0.385|0.513|0.898|0.251|
|Noah Sullivan|Sullivan|Noah|P|Mississippi State University|Mississippi State|R|R|23|203|0.345|0.475|0.645|1.12|0.3|
