# Document parsed from: Copy_of_Rate_7_2.numbers

## Page 1

|playerFullName|player|playerFirstName|pos|newestTeamName|newestTeamLocation|batsHand|throwsHand|Age|AB|BA|OBP|SLG|OPS|ISO|
|Braden Benton|Benton|Braden|1B|Northwestern State University|Northwestern State|R|R|23|145|0.297|0.473|0.572|1.045|0.276|
|Jaxon Holder|Holder|Jaxon|SS|Southern Illinois University|Southern Illinois|L|R|23|168|0.327|0.433|0.518|0.951|0.19|
|Matt Wessels|Wessels|Matt|RF|Iona College|Iona|R|R|22|193|0.311|0.396|0.378|0.774|0.067|
|Ryan Ouzts|Ouzts|Ryan|CF|Presbyterian College|Presbyterian|R|R|0|169|0.254|0.337|0.473|0.81|0.219|
|Brody Williams|Williams|Brody|C|Kent State University|Kent State|R|R|22|185|0.341|0.457|0.53|0.987|0.189|
|Logan Poteet|Poteet|Logan|C|UNC Charlotte|Charlotte|R|R|22|181|0.282|0.393|0.486|0.879|0.204|
|Trey Fenderson|Fenderson|Trey|2B|Presbyterian College|Presbyterian|R|R|22|163|0.374|0.477|0.521|0.999|0.147|
|Kyle Ratliff|Ratliff|Kyle|RF|Southern Illinois Univ.-Edwardsville|SIU Edwardsville|R|R|23|165|0.212|0.356|0.424|0.78|0.212|
|Jackson Melton|Melton|Jackson|2B|High Point University|High Point|R|R|23|188|0.346|0.456|0.601|1.057|0.255|
|Ahmar Donatto|Donatto|Ahmar|TWP|Prairie View A\&M University|Prairie View A\&M|R|R|21|178|0.376|0.448|0.646|1.094|0.27|
|Drew Giannini|Giannini|Drew|1B|San Jose State University|San Jose State|L|R|21|136|0.257|0.38|0.368|0.748|0.11|
|Cade Campbell|Campbell|Cade|3B|University of California|California|R|R|21|198|0.313|0.35|0.505|0.856|0.192|
|Nicholas Romano|Romano|Nicholas|3B|Florida Atlantic University|Florida Atlantic|S|R|0|175|0.274|0.392|0.366|0.757|0.091|
|Amman Dewberry|Dewberry|Amman|RF|Presbyterian College|Presbyterian|L|L|22|181|0.243|0.291|0.459|0.749|0.215|
|Robert Pitts Jr.|Pitts Jr.|Robert|CF|UC Riverside|UC Riverside|R|R|21|209|0.325|0.385|0.45|0.834|0.124|
|Tim Simay|Simay|Tim|SS|Southern Illinois University|Southern Illinois|R|R|0|191|0.351|0.452|0.539|0.991|0.188|
|Eric Chorba|Chorba|Eric|LF|Mercyhurst College|Mercyhurst|L|R|0|193|0.321|0.43|0.472|0.902|0.15|
|Ben Higdon|Higdon|Ben|LF|The University of Southern Mississippi|Southern Miss|L|R|23|158|0.323|0.398|0.513|0.91|0.19|
|Micajah Wall|Wall|Micajah|C|University of Southern Indiana|Southern Indiana|R|R|0|168|0.292|0.372|0.387|0.759|0.095|
|Wilbert Espinal|Espinal|Wilbert|RF|Alabama State University|Alabama State|L|L|22|172|0.302|0.43|0.506|0.936|0.203|
|Ryan Skjonsby|Skjonsby|Ryan|1B|Washington State University|Washington State|L|R|22|177|0.243|0.361|0.339|0.7|0.096|
|Sean Yamaguchi|Yamaguchi|Sean|3B|University of Nevada|Nevada|R|R|20|222|0.324|0.376|0.563|0.939|0.239|
|Owen Pincince|Pincince|Owen|1B|Siena College|Siena|R|R|0|159|0.296|0.402|0.428|0.83|0.132|
|Nathan Martinez|Martinez|Nathan|SS|Charleston Southern University|Charleston Southern|R|R|23|193|0.254|0.362|0.358|0.72|0.104|
|Alex Kelsey|Kelsey|Alex|CF|Saint Joseph's University|Saint Joseph's|L|L|19|197|0.32|0.458|0.452|0.91|0.132|
|Damian Rodriguez|Rodriguez|Damian|CF|Iona College|Iona|R|R|24|217|0.295|0.41|0.387|0.797|0.092|
|Andrew Raymond|Raymond|Andrew|C|George Mason University|George Mason|L|R|0|175|0.286|0.393|0.429|0.822|0.143|
|Axel Melendez|Melendez|Axel|LF|East Tennessee State University|East Tennessee State|L|R|0|161|0.304|0.396|0.522|0.917|0.217|
|Nolan Sparks|Sparks|Nolan|LF|Northern Kentucky University|Northern Kentucky|R|R|0|177|0.254|0.342|0.356|0.698|0.102|
|Reese Moody|Moody|Reese|2B|James Madison University|James Madison|R|R|0|155|0.245|0.337|0.316|0.653|0.071|
|Matthew Cash|Cash|Matthew|3B|Jacksonville State University|Jacksonville State|L|R|0|131|0.237|0.366|0.405|0.77|0.168|
|Jackson Hotchkiss|Hotchkiss|Jackson|RF|University of Washington|Washington|R|R|19|162|0.241|0.372|0.42|0.792|0.179|
|Diego Alana|Alana|Diego|SS|Eastern Kentucky University|Eastern Kentucky|S|R|22|177|0.288|0.36|0.356|0.716|0.068|
|Rocco Caballero|Caballero|Rocco|SS|San Jose State University|San Jose State|R|R|21|210|0.286|0.341|0.443|0.783|0.157|
|Michael Torres|Torres|Michael|CF|University of Miami|Miami|L|L|19|134|0.231|0.35|0.276|0.626|0.045|
|Nick Dicarlo|Dicarlo|Nick|CF|North Carolina A\&T State University|North Carolina A\&T|L|L|0|161|0.261|0.335|0.329|0.664|0.068|
|Bruce Wyche|Wyche|Bruce|RF|North Carolina A\&T State University|North Carolina A\&T|R|R|19|189|0.265|0.394|0.466|0.86|0.201|
|Landon Williams|Williams|Landon|3B|Prairie View A\&M University|Prairie View A\&M|R|R|22|169|0.367|0.465|0.663|1.128|0.296|
|Matthew Rollison|Rollison|Matthew|3B|Presbyterian College|Presbyterian|R|R|0|165|0.291|0.367|0.418|0.785|0.127|
|Jimmy Brennan|Brennan|Jimmy|C|Seton Hall University|Seton Hall|R|R|22|187|0.273|0.389|0.417|0.806|0.144|
|Kyle Morrison|Morrison|Kyle|3B|University of South Alabama|South Alabama|L|R|21|194|0.294|0.399|0.521|0.92|0.227|
|Charlie Walsh|Walsh|Charlie|2B|George Washington University|George Washington|R|R|0|175|0.269|0.361|0.343|0.704|0.074|
|Jaden Flores|Flores|Jaden|3B|Texas Southern University|Texas Southern|R|R|22|174|0.259|0.398|0.511|0.91|0.253|
|Jordan Ballin|Ballin|Jordan|2B|UTSA|UTSA|L|R|20|126|0.333|0.541|0.373|0.914|0.04|
|Ty Yukumoto|Yukumoto|Ty|SS|Gonzaga University|Gonzaga|L|R|22|196|0.286|0.408|0.362|0.771|0.077|
|Carter Dierdorf|Dierdorf|Carter|1B|University of West Georgia|West Georgia|L|L|22|189|0.28|0.388|0.582|0.97|0.302|
|Edian Espinal|Espinal|Edian|2B|University of Central Florida|Central Florida|S|R|21|185|0.335|0.434|0.47|0.905|0.135|
|Zach Leite|Leite|Zach|1B|Old Dominion University|Old Dominion|L|L|21|168|0.339|0.459|0.494|0.953|0.155|
|Cayden Smith|Smith|Cayden|TWP|Central Michigan University|Central Michigan|R|R|19|186|0.258|0.362|0.43|0.792|0.172|
|Gavin Kelly|Kelly|Gavin|C|West Virginia University|West Virginia|R|R|20|167|0.299|0.402|0.395|0.797|0.096|
|Parker Brzustewicz|Brzustewicz|Parker|1B|University of Notre Dame|Notre Dame|R|R|21|186|0.301|0.415|0.371|0.786|0.07|
|Levi Clark|Clark|Levi|C|University of Tennessee|Tennessee|R|R|19|128|0.289|0.459|0.594|1.053|0.305|
|Jason Wachs|Wachs|Jason|RF|Tulane University|Tulane|L|R|19|167|0.335|0.457|0.479|0.936|0.144|
|Lenox Lively|Lively|Lenox|C|Queens University of Charlotte|Queens University of Charlotte|L|R|19|158|0.139|0.247|0.177|0.424|0.038|
|Nolan Grawe|Grawe|Nolan|3B|South Dakota State University|South Dakota State|L|R|0|201|0.343|0.414|0.433|0.847|0.09|
|Luke Elmore|Elmore|Luke|LF|Air Force Academy|Air Force|R|R|20|168|0.298|0.382|0.44|0.822|0.143|
|Camden Hayslip|Hayslip|Camden|RF|UAB|UAB|L|L|23|185|0.243|0.306|0.535|0.841|0.292|
|Hayden Schott|Schott|Hayden|LF|Texas A\&M University|Texas A\&M|L|R|25|135|0.215|0.285|0.319|0.603|0.104|
|Corbin Lanowitz|Lanowitz|Corbin|3B|UNC Asheville|UNC Asheville|L|R|23|190|0.268|0.389|0.363|0.752|0.095|
|Kien Vu|Vu|Kien|RF|Arizona State University|Arizona State|L|L|22|178|0.354|0.458|0.601|1.059|0.247|
|Jayson Jones|Jones|Jayson|3B|Oklahoma State University|Oklahoma State|R|R|22|189|0.217|0.306|0.354|0.66|0.138|
|Thomas Schreck|Schreck|Thomas|SS|Army West Point|Army|R|R|23|158|0.335|0.449|0.494|0.943|0.158|
|Chris Barr|Barr|Chris|LF|Army West Point|Army|S|R|22|208|0.313|0.392|0.452|0.844|0.139|
|Coleson Titus|Titus|Coleson|3B|Army West Point|Army|R|R|22|166|0.223|0.353|0.271|0.624|0.048|
|Justin Lehman|Lehman|Justin|TWP|Army West Point|Army|L|R|23|136|0.324|0.409|0.456|0.865|0.132|
|Mauri Bejarano|Bejarano|Mauri|2B|Eastern Kentucky University|Eastern Kentucky|S|R|0|152|0.243|0.352|0.309|0.661|0.066|
|Cade Hentz|Hentz|Cade|3B|Jacksonville University|Jacksonville|R|R|0|166|0.241|0.294|0.307|0.602|0.066|
|Cameron Boyd|Boyd|Cameron|RF|University of Southern Indiana|Southern Indiana|R|R|0|183|0.306|0.366|0.459|0.825|0.153|
|Ben Slanker|Slanker|Ben|RF|Ohio University|Ohio|L|R|21|189|0.291|0.422|0.693|1.115|0.402|
|Wesley Jordan|Jordan|Wesley|LF|Baylor University|Baylor|R|R|23|195|0.308|0.396|0.564|0.96|0.256|
|Joseph Eichelberger|Eichelberger|Joseph|RF|Jackson State University|Jackson State|R|R|24|185|0.341|0.405|0.486|0.892|0.146|
|Henry Godbout|Godbout|Henry|2B|University of Virginia|Virginia|R|R|22|191|0.309|0.397|0.497|0.895|0.188|
|Henry Ford|Ford|Henry|RF|University of Virginia|Virginia|R|R|21|207|0.362|0.42|0.575|0.995|0.213|
|Hunter Katschke|Katschke|Hunter|RF|Utah Tech University|Utah Tech|R|R|22|184|0.283|0.337|0.495|0.831|0.212|
|Tommy OConnor|OConnor|Tommy|1B|University of Cincinnati|Cincinnati|L|L|23|173|0.243|0.363|0.457|0.82|0.214|
|Michael Crossland|Crossland|Michael|CF|UC San Diego|UC San Diego|R|R|21|205|0.341|0.435|0.644|1.079|0.302|
|Connor Capece|Capece|Connor|C|Creighton University|Creighton|R|R|20|172|0.349|0.42|0.477|0.897|0.128|
|Steve Solorzano|Solorzano|Steve|TWP|New Mexico State University|New Mexico State|R|R|21|185|0.335|0.47|0.551|1.021|0.216|
|Austin Haller|Haller|Austin|2B|Western Kentucky University|Western Kentucky|L|R|0|140|0.321|0.457|0.457|0.914|0.136|
|Michael Whooley|Whooley|Michael|3B|Villanova University|Villanova|R|R|21|192|0.307|0.419|0.526|0.945|0.219|
|Tim Dickinson|Dickinson|Tim|2B|Saint Joseph's University|Saint Joseph's|L|R|22|173|0.277|0.427|0.474|0.901|0.197|
|Connor Larson|Larson|Connor|SS|University of Richmond|Richmond|R|R|23|156|0.25|0.35|0.385|0.734|0.135|
|D.J. Pacheco|Pacheco|D.J.|LF|University of Richmond|Richmond|R|R|23|179|0.33|0.41|0.514|0.923|0.184|
|Chris Schuchart|Schuchart|Chris|1B|Davidson College|Davidson|R|R|23|179|0.257|0.338|0.408|0.746|0.151|
|Jack Poist|Poist|Jack|LF|University of Akron|Akron|L|R|0|192|0.271|0.395|0.427|0.822|0.156|
|Eric Becker|Becker|Eric|SS|University of Virginia|Virginia|L|R|20|201|0.368|0.453|0.617|1.07|0.249|
|Lawson Knight|Knight|Lawson|CF|Gardner Webb University|Gardner Webb|R|R|22|142|0.211|0.354|0.261|0.615|0.049|
|Andrew Manning|Manning|Andrew|RF|U.S. Naval Academy|Navy|L|R|0|177|0.277|0.379|0.452|0.831|0.175|
|Weber Neels|Neels|Weber|C|University of Minnesota|Minnesota|R|R|22|169|0.284|0.425|0.604|1.029|0.32|
|Jace Martinez|Martinez|Jace|SS|Sam Houston State University|Sam Houston State|R|R|21|175|0.269|0.371|0.354|0.725|0.086|
|Tristan Curless|Curless|Tristan|TWP|East Tennessee State University|East Tennessee State|L|L|23|175|0.28|0.374|0.549|0.923|0.269|
|Sam Gates|Gates|Sam|RF|George Washington University|George Washington|L|R|23|188|0.346|0.457|0.532|0.988|0.186|
|Aidan Teel|Teel|Aidan|CF|University of Virginia|Virginia|L|R|21|186|0.317|0.442|0.543|0.985|0.226|
|Troy Sanders|Sanders|Troy|SS|Grand Canyon University|Grand Canyon|R|R|21|180|0.289|0.323|0.344|0.667|0.056|
|James Nelson|Nelson|James|RF|Longwood University|Longwood|L|L|24|189|0.323|0.406|0.545|0.951|0.222|
|Matthew Graveline|Graveline|Matthew|LF|The Ohio State University|Ohio State|R|R|22|195|0.282|0.371|0.508|0.879|0.226|
|Tyler Pettorini|Pettorini|Tyler|2B|The Ohio State University|Ohio State|L|R|23|207|0.314|0.386|0.517|0.903|0.203|
|Ethan Willoughby|Willoughby|Ethan|3B|Southern Illinois Univ.-Edwardsville|SIU Edwardsville|R|R|0|188|0.266|0.33|0.372|0.702|0.106|
|Robbie Liddington|Liddington|Robbie|1B|University of the Incarnate Word|Incarnate Word|R|L|0|206|0.359|0.448|0.675|1.123|0.316|
|Tyler Bishop|Bishop|Tyler|1B|University of Nebraska-Omaha|Omaha|R|R|22|196|0.296|0.38|0.485|0.865|0.189|
|Jackson Trout|Trout|Jackson|RF|University of Nebraska-Omaha|Omaha|R|R|0|206|0.325|0.404|0.447|0.851|0.121|
|Aidan Quinn|Quinn|Aidan|3B|Lehigh University|Lehigh|L|R|22|168|0.345|0.44|0.536|0.976|0.19|
|Davis Germann|Germann|Davis|LF|Morehead State University|Morehead State|R|R|0|202|0.307|0.409|0.535|0.944|0.228|
|Matt Leahy|Leahy|Matt|SS|Rider University|Rider|R|R|0|198|0.237|0.332|0.313|0.645|0.076|
|Sebastian Pisacreta|Pisacreta|Sebastian|C|University of Pittsburgh|Pittsburgh|R|R|21|166|0.247|0.371|0.446|0.817|0.199|
|Gehrig Frei|Frei|Gehrig|1B|Mississippi State University|Mississippi State|S|R|23|145|0.345|0.404|0.586|0.99|0.241|
|Mitchell Cummins|Cummins|Mitchell|RF|Lindenwood University|Lindenwood|R|R|23|145|0.221|0.374|0.359|0.732|0.138|
|Trey Lipsey|Lipsey|Trey|RF|The Ohio State University|Ohio State|L|R|23|180|0.3|0.469|0.5|0.969|0.2|
|Max Moris|Moris|Max|C|University of St. Thomas (Minn.)|University of St. Thomas (Minn.)|R|R|23|190|0.326|0.414|0.479|0.893|0.153|
|Joe Vos|Vos|Joe|CF|University of St. Thomas (Minn.)|University of St. Thomas (Minn.)|L|L|22|178|0.326|0.388|0.539|0.927|0.213|
|Ben Vujovich|Vujovich|Ben|RF|University of St. Thomas (Minn.)|University of St. Thomas (Minn.)|L|R|22|195|0.297|0.361|0.487|0.848|0.19|
|Dylan Joyce|Joyce|Dylan|1B|Santa Clara University|Santa Clara|R|R|24|188|0.314|0.414|0.58|0.994|0.266|
|Diego Tavarez|Tavarez|Diego|LF|Wagner College|Wagner|L|R|0|186|0.323|0.448|0.511|0.959|0.188|
|Zack Kent|Kent|Zack|2B|Binghamton University|Binghamton|R|R|22|171|0.287|0.381|0.439|0.82|0.152|
|Jack Bello|Bello|Jack|TWP|Butler University|Butler|R|L|21|194|0.361|0.399|0.577|0.976|0.216|
|Mason Eckelman|Eckelman|Mason|C|The Ohio State University|Ohio State|L|R|21|178|0.281|0.406|0.438|0.844|0.157|
|Rowan Masse|Masse|Rowan|3B|UMass Lowell|UMass Lowell|R|R|22|162|0.235|0.347|0.29|0.637|0.056|
|Malakhi Knight|Knight|Malakhi|CF|University of Washington|Washington|R|R|23|171|0.251|0.356|0.374|0.73|0.123|
|Payton Brennan|Brennan|Payton|CF|UCLA|UCLA|L|R|22|195|0.303|0.381|0.487|0.868|0.185|
|Jay Bant|Bant|Jay|1B|Monmouth University|Monmouth|L|R|23|195|0.333|0.394|0.538|0.932|0.205|
|Tyler Quinn|Quinn|Tyler|1B|University of Utah|Utah|R|R|24|196|0.316|0.396|0.48|0.875|0.163|
|Kaden Carpenter|Carpenter|Kaden|RF|University of Utah|Utah|L|L|22|192|0.313|0.417|0.495|0.912|0.182|
|Dylan Nevar|Nevar|Dylan|LF|Western Michigan University|Western Michigan|L|L|23|193|0.301|0.395|0.539|0.934|0.238|
|Brendan Harrity|Harrity|Brendan|3B|Western Michigan University|Western Michigan|S|R|23|183|0.257|0.332|0.328|0.66|0.071|
|Casen Taggart|Taggart|Casen|1B|University of Washington|Washington|L|R|23|172|0.326|0.469|0.494|0.963|0.169|
|Casey Bishop|Bishop|Casey|2B|Towson University|Towson|R|R|23|154|0.201|0.305|0.26|0.565|0.058|
|Liam Patton|Patton|Liam|C|Valparaiso University|Valparaiso|R|R|25|176|0.295|0.416|0.403|0.819|0.108|
|Jacob Humphrey|Humphrey|Jacob|RF|Vanderbilt University|Vanderbilt|R|R|23|154|0.279|0.4|0.442|0.842|0.162|
|Braden Holcomb|Holcomb|Braden|LF|Vanderbilt University|Vanderbilt|R|R|21|153|0.275|0.378|0.503|0.881|0.229|
|Connor Ostrander|Ostrander|Connor|RF|Western Michigan University|Western Michigan|L|R|22|159|0.252|0.39|0.346|0.736|0.094|
|Ben VanMaanen|VanMaanen|Ben|1B|University of Arkansas-Pine Bluff|Arkansas-Pine Bluff|R|R|0|161|0.292|0.38|0.41|0.79|0.118|
|Ben Clark|Clark|Ben|C|Oakland University|Oakland|R|R|20|173|0.197|0.307|0.277|0.584|0.081|
|Wyatt Hunt|Hunt|Wyatt|3B|Monmouth University|Monmouth|L|R|20|178|0.225|0.293|0.303|0.596|0.079|
|Tre Phelps|Phelps|Tre|RF|University of Georgia|Georgia|R|R|21|201|0.318|0.409|0.547|0.957|0.229|
|Colton Bower|Bower|Colton|C|University of Washington|Washington|R|R|22|159|0.214|0.376|0.371|0.747|0.157|
|Henry Mitchell|Mitchell|Henry|SS|U.S. Naval Academy|Navy|S|R|22|145|0.207|0.363|0.324|0.687|0.117|
|Brayden Kuriger|Kuriger|Brayden|CF|Youngstown State University|Youngstown State|R|R|22|183|0.301|0.385|0.53|0.915|0.23|
|Tanner Mally|Mally|Tanner|CF|Western Michigan University|Western Michigan|R|R|21|205|0.356|0.444|0.439|0.883|0.083|
|Tyler Kehoe|Kehoe|Tyler|RF|Radford University|Radford|L|L|25|193|0.233|0.288|0.358|0.646|0.124|
|Seth Werchan|Werchan|Seth|CF|Virginia Commonwealth University|VCU|L|L|25|161|0.23|0.38|0.317|0.697|0.087|
|Raymond Velazquez|Velazquez|Raymond|3B|Austin Peay State University|Austin Peay|R|R|23|172|0.36|0.476|0.727|1.203|0.366|
|Seth Dardar|Dardar|Seth|1B|Kansas State University|Kansas State|L|R|23|184|0.326|0.429|0.636|1.065|0.31|
|Nick Arias|Arias|Nick|SS|Abilene Christian University|Abilene Christian|R|R|22|189|0.291|0.394|0.429|0.822|0.138|
|Jack Herring|Herring|Jack|RF|East Carolina University|East Carolina|S|L|23|139|0.302|0.391|0.453|0.845|0.151|
|Brady OBrien|OBrien|Brady|3B|University of Richmond|Richmond|R|R|23|202|0.366|0.422|0.777|1.199|0.411|
|Cole Smith|Smith|Cole|3B|Bradley University|Bradley|R|R|23|200|0.27|0.371|0.38|0.751|0.11|
|Kaden Smith|Smith|Kaden|LF|Charleston Southern University|Charleston Southern|R|R|0|191|0.356|0.456|0.67|1.127|0.314|
|Jamie Daly|Daly|Jamie|CF|Davidson College|Davidson|L|R|0|170|0.318|0.437|0.541|0.978|0.224|
|Grayson Sparr|Sparr|Grayson|LF|Stonehill College|Stonehill|R|R|20|169|0.337|0.454|0.574|1.028|0.237|
|Jon Embury|Embury|Jon|3B|Florida Gulf Coast University|Florida Gulf Coast|R|R|19|161|0.261|0.318|0.503|0.821|0.242|
|Wyatt Stanley|Stanley|Wyatt|1B|Western Carolina University|Western Carolina|L|L|21|148|0.331|0.466|0.534|1|0.203|
|Matt Leiterman|Leiterman|Matt|3B|Houston Christian University|Houston Christian|R|R|0|167|0.311|0.382|0.371|0.753|0.06|
|Taylor Tomlin|Tomlin|Taylor|CF|Oakland University|Oakland|R|L|21|177|0.322|0.419|0.384|0.803|0.062|
|Cameron Hill|Hill|Cameron|RF|Grambling State University|Grambling State|R|R|22|211|0.322|0.395|0.607|1.002|0.284|
|Brennan Hyde|Hyde|Brennan|LF|Rutgers University|Rutgers|R|R|23|172|0.262|0.358|0.413|0.771|0.151|
|Brady Miller|Miller|Brady|2B|Lipscomb University|Lipscomb|R|R|0|181|0.287|0.384|0.431|0.815|0.144|
|Chris Diaz|Diaz|Chris|RF|Marist College|Marist|L|L|21|162|0.228|0.354|0.333|0.687|0.105|
|Ranciel Ventura|Ventura|Ranciel|SS|Mercyhurst College|Mercyhurst|R|R|23|181|0.227|0.34|0.331|0.671|0.105|
|Matt Wolfe|Wolfe|Matt|SS|Middle Tennessee State University|Middle Tennessee State|R|R|22|158|0.31|0.433|0.424|0.857|0.114|
|Tyler Large|Large|Tyler|LF|Western Illinois University|Western Illinois|R|R|0|191|0.236|0.346|0.393|0.739|0.157|
|Robby Bolin|Bolin|Robby|RF|University of Nebraska|Nebraska|L|L|21|126|0.278|0.388|0.325|0.714|0.048|
|Hogan Denny|Denny|Hogan|RF|Indiana University, Bloomington|Indiana|R|R|20|137|0.292|0.42|0.504|0.924|0.212|
|Ben Loyd|Loyd|Ben|SS|Northern Illinois University|Northern Illinois|L|R|22|185|0.276|0.355|0.384|0.739|0.108|
|Logan Lowe|Lowe|Logan|SS|UNC Asheville|UNC Asheville|R|R|0|200|0.27|0.335|0.33|0.665|0.06|
|Travis Stroh|Stroh|Travis|CF|Fairleigh Dickinson University|Fairleigh Dickinson|R|R|0|185|0.254|0.341|0.335|0.676|0.081|
|Kordell Brown|Brown|Kordell|SS|University of the Pacific|Pacific|S|R|24|143|0.175|0.286|0.259|0.544|0.084|
|Austen Roellig|Roellig|Austen|3B|University of Utah|Utah|R|R|21|211|0.341|0.391|0.441|0.832|0.1|
|Aaron Manias|Manias|Aaron|2B|Purdue University|Purdue|L|R|22|126|0.302|0.437|0.595|1.032|0.294|
|Brayden Leonard|Leonard|Brayden|2B|Villanova University|Villanova|R|R|19|186|0.323|0.407|0.468|0.875|0.145|
|Ty DePerno|DePerno|Ty|C|U.S. Naval Academy|Navy|R|R|0|153|0.307|0.439|0.431|0.87|0.124|
|Case Sullivan|Sullivan|Case|SS|Valparaiso University|Valparaiso|R|R|0|183|0.257|0.351|0.426|0.777|0.169|
|Dawson Park|Park|Dawson|2B|Texas State University|Texas State|R|R|19|151|0.219|0.33|0.285|0.614|0.066|
|Cole Kosciusko|Kosciusko|Cole|LF|UC Santa Barbara|UC Santa Barbara|L|L|0|182|0.247|0.346|0.374|0.719|0.126|
|DJ Massey|Massey|DJ|SS|Utah Valley University|Utah Valley|R|R|0|157|0.318|0.375|0.395|0.77|0.076|
|Jimmy De Anda|De Anda|Jimmy|LF|Utah Valley University|Utah Valley|R|R|0|172|0.285|0.425|0.459|0.884|0.174|
|Cooper Prince|Prince|Cooper|CF|University of West Georgia|West Georgia|L|R|24|191|0.319|0.42|0.455|0.876|0.136|
|Tatum Marsh|Marsh|Tatum|LF|Stanford University|Stanford|R|R|20|175|0.377|0.459|0.526|0.985|0.149|
|AJ Groeneveld|Groeneveld|AJ|RF|Eastern Kentucky University|Eastern Kentucky|L|R|0|160|0.3|0.404|0.412|0.817|0.112|
|Cooper Malamazian|Malamazian|Cooper|3B|Indiana University, Bloomington|Indiana|R|R|19|172|0.32|0.394|0.512|0.906|0.192|
|Zion Williams|Williams|Zion|LF|Loyola Marymount University|Loyola Marymount|R|R|23|184|0.31|0.381|0.478|0.859|0.168|
|Tate Schmidt|Schmidt|Tate|2B|University of Wisconsin-Milwaukee|Milwaukee|L|R|0|180|0.228|0.314|0.311|0.625|0.083|
|Sam Grube|Grube|Sam|2B|Mount St. Mary's University|Mount St. Mary's|L|R|20|197|0.289|0.412|0.431|0.844|0.142|
|Nolan Book|Book|Nolan|SS|Mount St. Mary's University|Mount St. Mary's|R|R|0|184|0.326|0.417|0.446|0.863|0.12|
|Sammy Harris|Harris|Sammy|3B|Little Rock|Little Rock|L|R|23|142|0.296|0.394|0.437|0.831|0.141|
|Andrew Ildefonso|Ildefonso|Andrew|P|Florida International University|Florida International|R|R|21|161|0.304|0.393|0.497|0.89|0.193|
|Carter Vrabel|Vrabel|Carter|1B|Tennessee Technological University|Tennessee Tech|R|R|24|132|0.235|0.338|0.386|0.724|0.152|
|Nick Lovarco|Lovarco|Nick|RF|Monmouth University|Monmouth|R|R|0|175|0.223|0.291|0.366|0.657|0.143|
|Rayner Heinrich|Heinrich|Rayner|LF|Tarleton State University|Tarleton State|R|R|0|204|0.314|0.394|0.515|0.909|0.201|
|Josh Wakefield|Wakefield|Josh|RF|Grand Canyon University|Grand Canyon|L|L|21|195|0.349|0.436|0.405|0.841|0.056|
|Derek Cerda|Cerda|Derek|CF|University of Kansas|Kansas|R|R|23|197|0.279|0.41|0.503|0.912|0.223|
|Cade Martin|Martin|Cade|C|Little Rock|Little Rock|R|R|0|167|0.299|0.401|0.455|0.856|0.156|
|Alex Gouveia|Gouveia|Alex|3B|UC Davis|UC Davis|R|R|25|154|0.253|0.351|0.338|0.689|0.084|
|Gunner Antillon|Antillon|Gunner|SS|Bowling Green State University|Bowling Green|R|R|24|193|0.342|0.442|0.477|0.918|0.135|
|Christian Taylor|Taylor|Christian|LF|Air Force Academy|Air Force|R|R|21|176|0.295|0.371|0.426|0.797|0.131|
|Jake Harvey|Harvey|Jake|C|University of Nevada|Nevada|R|R|22|170|0.312|0.44|0.388|0.829|0.076|
|Kevin Denty|Denty|Kevin|RF|Valparaiso University|Valparaiso|L|R|0|167|0.293|0.41|0.431|0.841|0.138|
|Andrew Cain|Cain|Andrew|1B|University of Arizona|Arizona|L|R|21|154|0.247|0.35|0.487|0.837|0.24|
|Mike Mancini|Mancini|Mike|2B|Vanderbilt University|Vanderbilt|L|R|22|145|0.269|0.398|0.393|0.791|0.124|
|Martavius Thomas|Thomas|Martavius|CF|Grambling State University|Grambling State|S|R|20|161|0.304|0.489|0.472|0.961|0.168|
|Luke Heyman|Heyman|Luke|C|University of Florida|Florida|R|R|22|173|0.301|0.397|0.578|0.975|0.277|
|Addison Ainsworth|Ainsworth|Addison|CF|Army West Point|Army|L|R|23|188|0.293|0.405|0.457|0.863|0.165|
|Brendan Jones|Jones|Brendan|2B|College of the Holy Cross|Holy Cross|L|R|24|154|0.227|0.376|0.351|0.726|0.123|
|Lewis Rodriguez|Rodriguez|Lewis|CF|Marist College|Marist|R|R|21|188|0.303|0.398|0.388|0.787|0.085|
|Jackson Cauthron|Cauthron|Jackson|C|Ohio University|Ohio|L|R|0|177|0.277|0.394|0.469|0.863|0.192|
|Jackson Bessette|Bessette|Jackson|C|University of Illinois-Chicago|Illinois-Chicago|R|R|22|169|0.243|0.403|0.485|0.888|0.243|
|Levi McAllister|McAllister|Levi|C|University at Albany|Albany|R|R|23|158|0.31|0.432|0.589|1.021|0.278|
|Michael Mylott|Mylott|Michael|LF|Southern Illinois University|Southern Illinois|R|R|0|177|0.299|0.373|0.548|0.921|0.249|
|Ethan Swidler|Swidler|Ethan|C|Lafayette College|Lafayette|R|R|22|178|0.331|0.462|0.494|0.956|0.163|
|Michael Zarrillo|Zarrillo|Michael|3B|Lafayette College|Lafayette|S|R|22|187|0.289|0.365|0.444|0.809|0.155|
|Easton Brenner|Brenner|Easton|CF|Lafayette College|Lafayette|R|R|22|150|0.34|0.498|0.48|0.978|0.14|
|Matt Colella|Colella|Matt|SS|Lafayette College|Lafayette|R|R|0|179|0.257|0.354|0.274|0.628|0.017|
