,,Avg. Exit Velo,Barrel%,Whiff%,Chase%,Avg. Exit Velo SD,Barrel% SD,Whiff% SD,Chase% SD,
,,86.2,17.40,22.9,23.1,4.20,7.78,6.51,5.58,
Team,Avg Exit Velocity,Barrel%,Whiff%,Chase%,EV Score,Barrel Score,Whiff% Score,Chase% Score,Offensive Power Rating,Power Rating
Aidan Masters,88.3,15,26.2,15.6,69,38,31,91,57,115
Michael Trommer,88.3,28.2,36,20.9,69,92,2,65,52,103
Jake Kernodle,88.3,12.9,25.8,20.8,69,28,33,66,51,103
Luke Nowak,88.3,11.5,13.8,22.2,69,22,92,56,66,133
Devin Burkes,88.3,19.4,29.2,23.7,69,60,17,46,47,95
Kyle Musser,88.3,18.5,21.7,22.9,69,56,57,51,60,120
Kimble Schuessler,88.3,20.2,19.1,26.9,69,64,72,25,60,121
Landon Godsey,88.3,26,23.1,23.8,69,87,49,45,61,122
Connor Maryniak,88.3,26.8,24.5,27.3,69,89,40,23,54,108
Bryson Arnette,88.3,11.1,21.7,23.9,69,21,57,44,53,107
Tucker Stockman,88.3,22.5,31.4,30.2,69,74,10,10,40,81
Ryan Zuckerman,88.3,25.2,39.2,26.4,69,84,1,28,43,85
Khalil Walker,88.3,15.6,11.6,20.3,69,41,96,69,73,146
Isaac Wachsmann,88.3,17.3,30.6,29.1,69,49,12,14,38,76
Logan Hugo,88.3,23.2,23.6,19.4,69,77,46,75,64,129
Maddox Malony,88.3,20,19,24.6,69,63,73,39,63,127
Finnegan Stewart,88.3,13.7,17.1,22.3,69,32,81,56,65,129
Luke Gaffney,88.2,18.1,22.8,27.1,68,54,51,24,52,104
Mark Quatrani,88.2,24.5,24.1,26,68,82,43,30,55,110
Derek Cerda,88.2,26.7,19,17,68,88,73,86,76,152
Matt King,88.2,20.1,20.1,26.8,68,64,67,25,59,117
Brett Lesher,88.2,23.4,31.4,29.7,68,78,10,12,41,82
Charlie Saum,88.2,25.8,31.4,31.1,68,86,10,8,41,82
Davis Baker,88.2,18.5,24,26.9,68,56,43,25,50,100
DJ Perron,88.2,23.2,14.5,19.9,68,77,90,72,77,154
Lee Ellis,88.2,21.4,23.1,28.9,68,70,49,15,52,104
Gavin Kelly,88.2,25.4,15.7,24.4,68,85,87,41,71,142
Trent Caraway,88.2,16.9,27.6,27.5,68,47,24,22,42,85
Rylan Lujo,88.2,18.3,12,26.3,68,55,95,28,66,133
Camden Ross,88.2,17.3,20.5,19.4,68,49,64,75,66,131
Titan Kamaka,88.2,12.2,19.8,28.9,68,25,68,15,51,102
Joe Durso,88.2,26.8,23.5,21.7,68,89,46,60,63,126
Ryan Ferremi,88.2,13.6,18.2,14.9,68,31,76,93,70,140
Luke Cantwell,88.2,22,20.7,17.6,68,72,63,84,70,141
Sam White,88.2,20.7,17.9,28.5,68,66,78,17,61,121
Ryan Kroepel,88.2,13.3,20.2,23.9,68,30,66,44,57,114
Chase Nixon,88.2,13.8,16.7,19.4,68,32,83,75,69,137
Nevan Noonan,88.1,19.2,14.9,23.2,67,59,89,49,69,138
Charlie Marion,88.1,21.8,22.4,25.2,67,71,53,35,57,115
Jonathan Vastine,88.1,28.6,36.8,28.6,67,92,2,16,41,82
Adam Agresti,88.1,28.2,30.5,24.2,67,92,12,42,49,99
Lucas Carmichael,88.1,21.3,14.9,29.9,67,69,89,11,63,126
Will Edmunson,88.1,17.7,16,25,67,52,86,37,64,129
Ellis Schwartz,88.1,23.4,18,18.5,67,78,77,80,74,149
Cannon Peery,88.1,20.8,25.1,22.1,67,67,37,57,56,112
Jake Millan,88.1,21.7,29.3,24.2,67,71,16,42,48,95
Nick Husovsky,88.1,14,19.4,22.1,67,33,70,57,61,122
Dalen Thompson,88.1,18.5,24.9,30.2,67,56,38,10,45,91
Nick Williams,88.1,15.8,10.8,17.3,67,42,97,85,76,152
Joe Jaconski,88.1,24.6,27.1,24.8,67,82,26,38,51,103
Zion Williams,88.1,21.1,29.1,23.4,67,68,17,48,49,97
Logan Maxwell,88.1,23.9,20.1,21.9,67,80,67,59,67,135
Eli Berch,88.1,18.4,25.8,21.5,67,55,33,61,54,108
Austin Dearing,88.1,19.7,27.7,25.1,67,62,23,36,47,94
Josh Overbeek,88.1,25.2,28.3,25.9,67,84,20,31,48,97
Andrew Schuldt,88.1,33.9,28.7,15.9,67,98,19,90,62,124
Nick Arias,88.1,11.6,17.6,16.9,67,23,79,87,68,136
Brayden Evans,88,27.8,24.3,25.8,67,91,41,31,56,111
Davis Gillespie,88,19.8,24.9,23.2,67,62,38,49,54,108
Trace Morrison,88,25,17.9,20.6,67,84,78,67,73,145
Jayder Raifstanger,88,17.4,15.3,16.8,67,50,88,87,75,149
Dalton Bargo,88,29.1,29.1,28.7,67,93,17,16,46,91
AJ Anderson,88,0,11.2,16.3,67,1,96,89,70,140
Jaxon Holder,88,17.1,17.1,16.8,67,48,81,87,72,145
Sam Seidel,88,11.3,12.1,22.9,67,22,95,51,65,131
Keenan Spence,88,18.4,41.8,28,67,55,0,19,35,71
Shintaro Inoue,88,23.2,21.6,23.5,67,77,58,47,62,123
Jack Cotrone,88,21.3,35.5,26.2,67,69,3,29,40,81
Josh Steidl,88,20.5,19.9,15.2,67,65,68,92,72,144
Logen Devenport,88,13.5,21,20.7,67,31,61,67,60,119
Bear Madliak,88,22.8,28.3,23.4,67,76,20,48,50,101
Benjamin Greer,88,21.1,21.4,17.6,67,68,59,84,68,136
Foster Apple,88,19.5,23.3,23,67,61,48,51,57,114
Joe Vos,88,20.5,25,25.9,67,65,37,31,50,101
Jalan Jones,88,17.6,17.5,16.7,67,51,80,87,72,145
Kavi Caster,88,23.6,26.4,32.9,67,79,30,4,45,90
Jake Berger,87.9,19.7,15.7,17.1,66,62,87,86,75,151
Scott Campbell,87.9,13.7,19.8,25.5,66,32,68,33,55,110
Andrew Kanellis,87.9,20.2,24.9,21.3,66,64,38,63,57,113
Tyler Bishop,87.9,19.4,22,24.4,66,60,55,41,57,114
Ethan Farina,87.9,20,22.8,29.7,66,63,51,12,50,100
Aiden Stewart,87.9,33.9,23.5,19,66,98,46,77,67,134
Josiah Ragsdale,87.9,23.7,18.9,20.9,66,79,73,65,70,140
Bruce Wyche,87.9,26.2,29.5,23.7,66,87,16,46,50,100
Hunter Simmons,87.9,25,28.8,25.3,66,84,18,35,48,96
Cade Carr,87.9,26.9,26,26.8,66,89,32,25,51,102
LeTrey McCollum,87.9,11.6,13.7,22.8,66,23,92,52,64,129
Jason Neff,87.9,26.5,27.2,23.9,66,88,25,44,53,105
Trey Bridges,87.9,16.7,21.3,14.9,66,46,60,93,66,133
Mason Gaines,87.9,18.5,29,26.4,66,56,17,28,42,84
Nathan Beckley,87.9,17.6,26,25,66,51,32,37,47,95
Eddie Madrigal,87.9,24.2,20.2,24.2,66,81,66,42,63,127
Charles Davalan,87.9,23.1,10.4,19.8,66,77,97,72,78,156
Cam Schneider,87.9,11.1,25.8,28.3,66,21,33,18,39,79
Evan Bouldin,87.9,22.4,16.2,25.4,66,74,85,34,66,133
LT Cockrill,87.9,24,20.4,23.5,66,80,65,47,64,128
Joe Roder,87.9,18.5,15.6,13.8,66,56,87,95,76,153
Cameron Greene,87.9,7.7,22,13.2,66,11,55,96,60,121
Rhett Hendricks,87.8,13.6,22.8,19.3,65,31,51,75,58,115
Zeb Ruddell,87.8,18.9,22.4,19.8,65,58,53,72,62,123
Luke Anderson,87.8,25.7,20.4,21.7,65,86,65,60,67,134
Bruce Jellison,87.8,12.6,18.2,20.3,65,27,76,69,64,127
Tre Broussard,87.8,17.2,13.2,25.1,65,49,93,36,65,130
Zane Spinn,87.8,23.7,21.7,21.5,65,79,57,61,64,128
Jalin Flores,87.8,26.9,22.5,32.4,65,89,52,5,53,105
Jayson Jones,87.8,16.2,27.8,25.9,65,44,23,31,42,84
Nick Spaventa,87.8,17.1,22.5,25.1,65,48,52,36,53,106
Armando Briseno,87.8,16.2,26.8,25.1,65,44,27,36,45,89
Dylan Kordic,87.8,13.4,25.3,27,65,30,36,24,43,86
Ethan Fender,87.8,25.7,24.7,31.9,65,86,39,6,48,97
Parker Coley,87.8,9.1,23.5,25,65,14,46,37,46,92
David Marshall,87.8,19.2,21.8,22.5,65,59,57,54,59,119
Logan Gregorio,87.8,28.4,18.7,24.9,65,92,74,37,66,132
Michael Brooks,87.8,19.9,21.1,20.5,65,63,61,68,64,128
Harrison Kaufman,87.8,24,23.7,21.7,65,80,45,60,60,120
Cam Gilkerson,87.8,18.8,21.5,24.3,65,57,59,41,57,114
Ty Rumsey,87.8,14.6,23.4,28,65,36,47,19,46,92
Kaleb Hall,87.8,10,15.3,25.9,65,17,88,31,58,116
Bryan Padilla,87.8,15.9,20.5,18.9,65,42,64,77,64,128
Jake King,87.8,12.1,20.7,15.2,65,25,63,92,64,128
Jamie Palmese,87.8,22.5,23.5,24.2,65,74,46,42,56,112
Landon Nunes,87.8,17.5,23.3,18.4,65,51,48,80,61,121
Cayden Nicoletto,87.8,22.8,21.9,30.1,65,76,56,10,53,106
Sam Gates,87.8,16.1,18.5,18.1,65,43,75,82,68,136
Sebastian Alexander,87.8,15.3,22.5,24,65,39,52,44,53,106
Tyler Bak,87.8,15,12.5,18.5,65,38,94,80,73,145
Dustin Mercer,87.8,11,13.1,21.4,65,21,93,62,66,132
Colton Coates,87.7,19.5,11.6,19.5,64,61,96,74,75,150
Ryan Niedzwiedz,87.7,20.2,19.4,24.6,64,64,70,39,61,122
Kyler Proctor,87.7,11.7,29.1,30.1,64,23,17,10,33,66
Garrett Macias,87.7,11.5,12.9,26.3,64,22,94,28,60,119
Michelle Artzberger,87.7,20.3,16.6,29,64,65,83,14,60,120
Patrick Keighran,87.7,16.9,24.7,21,64,47,39,65,54,108
Jamal Ritter,87.7,35.7,12.6,9.4,64,99,94,99,85,171
Jake Hyde,87.7,26.6,24.9,21.8,64,88,38,59,59,118
Easton Jones,87.7,17.8,31.2,30.6,64,52,10,9,35,70
Mason Holton,87.7,19.7,23.3,22.9,64,62,48,51,56,112
Charlie Meglio,87.7,22.9,23.6,24.9,64,76,46,37,55,110
Tyler Pettorini,87.7,14,13.3,20.7,64,33,93,67,69,137
Will Cresswell,87.7,23.7,24.5,23.1,64,79,40,50,56,113
Will Couchman,87.7,19.8,32.9,22,64,62,6,58,45,90
Jack Collins,87.7,21.9,25.1,23,64,72,37,51,54,109
Hunter Katschke,87.7,19.5,24,33.2,64,61,43,4,45,90
Ethan Rossi,87.7,16.1,22.2,18.9,64,43,54,77,61,121
Connor Misch,87.7,23.3,24,17.6,64,78,43,84,64,128
Elijah Vogelsong,87.6,18.4,22.7,17.9,63,55,51,82,62,124
Wil French,87.6,17.9,13.4,20.6,63,53,93,67,71,142
Brian Heckelman,87.6,16.2,12.6,17.1,63,44,94,86,74,148
Nick Bergamotto,87.6,5.9,19.2,15.9,63,7,72,90,63,125
Jonas Salk,87.6,23,33.2,21.7,63,76,6,60,47,94
Aries Gardner,87.6,12.5,16.8,21.5,63,26,83,61,63,126
Kevin Jones,87.6,20.7,22.7,25.9,63,66,51,31,54,107
Erik Paulsen,87.6,18.5,12.9,22.2,63,56,94,56,70,140
Jackson Bessette,87.6,18,25,19.1,63,53,37,76,57,113
Colby Wallace,87.6,18.4,22.4,29.8,63,55,53,11,49,97
AJ Nessler,87.6,11.7,15.3,16.6,63,23,88,88,69,139
Colin Barczi,87.6,20,29.4,31.3,63,63,16,7,38,75
Blaize Johnson,87.6,25.5,20.5,26,63,85,64,30,60,120
Ethan Wilson,87.6,18.5,26.2,22.6,63,56,31,54,50,101
Kyle Ashworth,87.6,18.9,12.4,12.9,63,58,95,97,78,157
Griffin Olson,87.6,23.3,33.9,21.7,63,78,5,60,47,94
Skylar King,87.6,13.5,17,30.5,63,31,82,9,53,106
Kelvin Agosto,87.6,17.7,21,16.5,63,52,61,88,66,132
Jackson Harris,87.6,14.6,18.8,25.5,63,36,74,33,56,112
Colby Thorndyke,87.6,16.1,27.4,32.5,63,43,24,5,37,74
Luke Waters,87.6,21.6,25.5,33.4,63,71,34,3,44,87
Bryan Arendt,87.6,24.8,26,32.1,63,83,32,5,45,90
Drew Reynolds,87.5,16.7,29,26.4,62,46,17,28,39,79
Wylie Waters,87.5,22.2,30.1,28.1,62,73,13,18,40,81
Kent Schmidt,87.5,18.5,12.9,22.7,62,56,94,53,69,138
Lee Amedee,87.5,15.4,15.5,22.6,62,40,87,54,65,129
Amman Dewberry,87.5,23.1,33.2,40.9,62,77,6,0,35,70
Benny Casillas,87.5,23.6,17.3,27.7,62,79,81,20,62,124
Jack Bello,87.5,24.1,28.3,33.6,62,81,20,3,41,81
Kam Durnin,87.5,18,21.7,21.7,62,53,57,60,59,118
Jared Stevenson,87.5,38.2,32.1,15.6,62,100,8,91,57,115
Cal Sefcik,87.5,16.5,18.9,24.2,62,45,73,42,59,118
Cooper Vance,87.5,20.7,18.8,23.1,62,66,74,50,64,128
Sam Busch,87.5,14.3,18.5,26.2,62,35,75,29,55,110
Crew McChesney,87.5,17.1,29.2,20.2,62,48,17,70,48,96
Matt Scannell,87.5,16.7,19.9,19.6,62,46,68,73,64,127
Arderrius Townsend,87.5,38.9,33.2,20.6,62,100,6,67,52,104
Brodie Johnston,87.5,16.6,33.5,38.7,62,46,5,0,30,60
Max Handron,87.5,27.2,27.7,27.2,62,90,23,23,47,93
Tyler Lichtenberger,87.5,17.2,18.3,28.2,62,49,76,18,56,111
Blake DeLamielleure,87.5,17,26.2,21.2,62,48,31,63,51,102
Patrick Gillen,87.5,2.5,17,21.3,62,3,82,63,59,118
PJ Moutzouridis,87.5,14.5,15.4,25.3,62,35,88,35,60,121
Grayson Ashe,87.5,24.3,12.5,18.7,62,81,94,78,78,156
Alec DeMartino,87.4,21.4,25.6,23.3,61,70,34,49,52,104
Justin Hausser,87.4,21.5,15.1,27,61,70,88,24,63,127
Blake Schaaf,87.4,15.4,15.2,18.7,61,40,88,78,70,139
Aaron Posey,87.4,20,38.4,16.5,61,63,1,88,49,98
Javier Crespo,87.4,12.4,17.4,28.8,61,26,80,15,52,105
Patrick Fultz,87.4,23.7,31.1,23.5,61,79,10,47,46,92
Jacob Orr,87.4,14.2,15,30.6,61,34,89,9,55,110
JC Spinosa,87.4,19,22.5,13.2,61,58,52,96,65,130
Troy Sudbrook,87.4,16.1,20,29.6,61,43,67,12,51,101
Christian Scanlon,87.4,18.2,25.1,13.5,61,54,37,96,60,119
Teddy Deters,87.4,16.2,24.5,19.7,61,44,40,73,55,109
Rafael Betancourt,87.4,13.8,17.2,34.1,61,32,81,2,51,102
AJ Beltre,87.4,13.9,18.6,30.5,61,33,75,9,51,101
Will MacLean,87.4,18.7,22.5,25.9,61,57,52,31,52,104
Nathan Hall,87.4,14.3,19.4,28.4,61,35,70,17,51,102
David Pedanou,87.4,22.1,34.5,27.7,61,73,4,20,38,75
Petey Craska,87.4,17.5,24.9,26.2,61,51,38,29,46,92
Ben Slanker,87.4,16,23.3,16.8,61,43,48,87,60,119
Lucas Moore,87.4,17.4,12.1,19,61,50,95,77,73,146
Jimmy De Anda,87.4,23.7,19.2,18.1,61,79,72,82,71,142
Jake Ogden,87.4,22.8,16.9,33.3,61,76,82,3,58,116
Andrew Sundean,87.4,16.2,18.2,34.3,61,44,76,2,51,103
Chris Marcellus,87.4,14.3,18.1,9.5,61,35,77,99,70,139
Dean Toigo,87.4,21.6,21.8,31.9,61,71,57,6,50,100
Caden Matlon,87.3,20,17.5,21.4,60,63,80,62,67,134
Ryan Cooney,87.3,15,11.5,17.9,60,38,96,82,72,144
Owen McElfatrick,87.3,21.9,22.8,26.2,60,72,51,29,53,106
Payton Brennan,87.3,16.7,26.6,29.9,60,46,28,11,39,78
Jesiah Carpenter,87.3,14.1,25.6,23.4,60,34,34,48,46,92
Brandyn Durand,87.3,26,34.1,33.2,60,87,4,4,36,72
Connor Moore,87.3,25,24,26.8,60,84,43,25,52,103
Mikey Murphy,87.3,28.9,21.1,22.9,60,93,61,51,64,127
Damion Kenealy,87.3,13.1,20.1,30.3,60,29,67,10,47,95
Michael Whooley,87.3,20.5,23.2,23.1,60,65,48,50,55,111
Colin Yeaman,87.3,23.5,20.1,15,60,78,67,93,71,143
Cade Martin,87.3,18.2,28.3,21.1,60,54,20,64,48,96
Carson Lorch,87.2,16.4,12.2,11,59,45,95,99,76,151
Pearson Riebock,87.2,24.8,27,20,59,83,26,71,55,111
Aidan Cohall,87.2,25.6,18.1,22.4,59,85,77,55,68,135
Ben North,87.2,17.6,24.7,22.1,59,51,39,57,52,103
Jaylen Hernandez,87.2,20.1,14.3,18.5,59,64,91,80,73,147
Brady Reynolds,87.2,26.7,33.3,22.7,59,88,6,53,46,93
Landon Scilley,87.2,16.8,28.5,22.6,59,47,19,54,44,89
Ryder Helfrick,87.2,16.9,30.4,21.2,59,47,12,63,44,89
Ryan Brome,87.2,16.8,24.9,22.7,59,47,38,53,50,100
Dylan Mayer,87.2,15,36.1,22,59,38,2,58,39,77
Eddie Hacopian,87.2,16.7,13.2,21.2,59,46,93,63,68,137
Easton Moomau,87.2,12.5,9.7,23.8,59,26,98,45,63,126
Matt Flaherty,87.2,22.2,27.8,33.1,59,73,23,4,39,79
Ryan Taylor,87.2,14.8,27.5,23.6,59,37,24,46,43,86
Jon Legrande,87.2,23,20.2,22.5,59,76,66,54,63,126
TJ Rogers,87.2,19.5,22.5,24.1,59,61,52,43,54,108
Justin DeCriscio,87.2,18.8,13.9,19,59,57,92,77,72,144
James Murphy,87.2,20.2,26.5,18,59,64,29,82,56,111
Brian Duroff,87.2,22.2,19.9,34,59,73,68,3,53,105
Evan Brown,87.2,16.4,22,24.7,59,45,55,39,52,104
Jack Lausch,87.1,35.3,35,30.4,58,99,3,10,38,76
Tommy Townsend,87.1,26.5,28.8,22.3,58,88,18,56,50,101
Koby Kropf,87.1,24.8,25.5,32,58,83,34,6,44,89
Ty Doucette,87.1,19.2,21.2,30.1,58,59,60,10,50,99
Tanner Chun,87.1,18.9,21.9,24,58,58,56,44,55,109
Connor Giusti,87.1,24.3,25.9,21.3,58,81,32,63,55,110
Ty Stauss,87.1,22.6,23.3,21.3,58,75,48,63,58,117
Jackson Lovich,87.1,19.5,31,34,58,61,11,3,33,67
Madden Ocko,87.1,19.6,19.8,18.6,58,61,68,79,66,132
Owen Hull,87.1,20.1,19.3,22.3,58,64,71,56,62,125
Cooper Blauser,87.1,24.5,23.7,17.3,58,82,45,85,63,127
Ethan Hedges,87.1,24.9,23.5,24.5,58,83,46,40,55,110
Dante Damore,87.1,20,28.3,16.7,58,63,20,87,54,107
Anthony Greco,87.1,21.3,29.6,22.8,58,69,15,52,46,92
Gabe Miranda,87.1,17.6,27.8,19.2,58,51,23,76,50,100
AJ Gracia,87,22.9,13.7,18.5,58,76,92,80,75,150
Jack Power,87,21.6,17.1,16,58,71,81,90,73,146
Mark Henning,87,13.2,13.2,16.2,58,29,93,89,70,141
Vance Sheahan,87,15.8,15.6,27.6,58,42,87,21,57,113
Tate Bethel,87,19.2,21.6,24.7,58,59,58,39,54,108
Andrey Martinez,87,26.9,20.9,21.9,58,89,62,59,64,128
Scott Donahue,87,16.2,18.4,20.2,58,44,76,70,63,127
Hassan Turner,87,25,27.9,20.6,58,84,22,67,53,106
Charlie Iriotakis,87,10.1,18.4,23.4,58,17,76,48,55,110
Alex Fernandes,87,21.7,15.8,12.8,58,71,86,97,76,152
Parker Brzustewicz,87,10.4,13,17.3,58,18,94,85,68,136
Brayden Corn,87,23.1,21.8,21.7,58,77,57,60,61,121
Billy Kender,87,15.2,11.7,12.5,58,39,96,97,74,148
Alex Irizarry,87,15.5,16.5,17.8,58,40,84,83,68,136
Carter Johnstone,87,14.6,11.6,16.3,58,36,96,89,72,144
Brayden Bakes,86.9,15.4,23.3,17.5,57,40,48,84,57,114
Sergio Rivera,86.9,14.3,18.2,15.8,57,35,76,90,66,132
Scott Newman,86.9,22,31.8,19.3,57,72,9,75,48,97
Michael Zito,86.9,17.6,22.6,21.4,57,51,52,62,55,111
Christopher Carson,86.9,12.2,12.7,21,57,25,94,65,65,130
Nathan Cadena,86.9,28.2,26.4,24,57,92,30,44,51,102
Cole Fellows,86.9,18.6,24.5,27.8,57,56,40,20,44,89
Tyler Smith,86.9,9.8,28.1,21,57,16,21,65,42,83
AJ Soldra,86.9,23.6,21,24.6,57,79,61,39,58,116
Chase Krewson,86.9,10.6,22.7,24.6,57,19,51,39,46,92
Hunter Klotz,86.9,24.4,22.5,18.4,57,82,52,80,64,128
William Parker,86.9,18.3,28.9,28.6,57,55,18,16,37,73
Brant Baughcum,86.9,14.6,17.8,25.4,57,36,78,34,56,111
Cannon Peebles,86.9,14.4,26.7,28.2,57,35,28,18,37,74
Bryan Loriga,86.9,11.8,24.3,24.4,57,24,41,41,44,88
Cade Campbell,86.9,19.2,27.6,38.9,57,59,24,0,36,72
Damian Ruiz,86.9,15.2,17.3,15.3,57,39,81,92,68,136
Mateo Serna,86.9,27.7,35.6,29.7,57,91,3,12,37,73
Marcus Heusohn,86.9,14.3,10.6,16.9,57,35,97,87,71,143
Ty Batusich,86.9,14.5,13.1,21.9,57,35,93,59,65,130
Marek Houston,86.9,18.7,17.6,21.6,57,57,79,61,64,128
Akili Carris,86.9,13.3,21.3,26.2,57,30,60,29,48,96
Brady Short,86.8,16.7,9.1,16.7,56,46,98,87,73,147
Leewood Molessa,86.8,17.6,27.2,23.5,56,51,25,47,44,88
Landon Williams,86.8,21.4,22.2,18,56,70,54,82,63,125
Carter Hain,86.8,20,28.5,26.4,56,63,19,28,40,81
Connor Charpiot,86.8,20.4,15.5,14.7,56,65,87,93,74,148
Vincent Fattore,86.8,24.1,29,25.6,56,81,17,33,43,87
Matthew Maulik,86.8,20,15.4,28.3,56,63,88,18,59,117
Ryan Kennell,86.8,9.5,11,19.1,56,16,97,76,66,132
JP Hefft,86.8,15.9,12,16.5,56,42,95,88,72,144
RJ Austin,86.8,12.3,19,27.4,56,26,73,22,49,99
Kyle Wolff,86.8,21,18.9,29.1,56,68,73,14,54,109
Joey Pagano,86.8,19.7,14.7,20.8,56,62,90,66,69,138
Hank Warren,86.8,10.6,18.3,21.4,56,19,76,62,58,115
Dillon Baker,86.8,22.8,21.2,27.2,56,76,60,23,54,107
Matt Bolton,86.8,16.1,17.1,18.8,56,43,81,78,66,132
Cole Cahill,86.8,16.8,17.7,30.7,56,47,79,9,52,104
Aden Hill,86.8,19.1,28.5,22.3,56,59,19,56,45,91
Alex Luccini,86.7,22.6,25.2,23.5,55,75,36,47,51,101
Nolan Book,86.7,12.7,14.8,20.4,55,27,89,69,64,128
Landon Moran,86.7,21.8,16.4,18.8,55,71,84,78,71,141
Michael Diaz,86.7,18.2,21.7,22.7,55,54,57,53,55,110
Sean White,86.7,22.4,23.4,24.6,55,74,47,39,52,104
Tony Castonguay,86.7,20.5,34.3,27.7,55,65,4,20,34,69
Jake Koonin,86.7,17.2,28.9,26.7,55,49,18,26,37,74
AJ Taylor,86.7,13.1,9.6,23.7,55,29,98,46,62,124
Hunter Autrey,86.7,28.3,22.4,24.9,55,92,53,37,56,113
Nick Capozzi,86.7,20.7,27.4,23.3,55,66,24,49,46,92
Liam Patton,86.7,17.2,21.2,17.9,55,49,60,82,61,122
Andrew Eppinger,86.7,6.4,24.7,25.6,55,8,39,33,39,77
Luke Arnold,86.7,17,26.9,26.9,55,48,27,25,39,79
Merik Carter,86.7,17.6,14.5,12.4,55,51,90,97,73,147
Bryce Chance,86.7,16.1,19.3,25.4,55,43,71,34,54,108
Josh Livingston,86.7,18.8,24.8,21.3,55,57,39,63,52,104
Sebastian Mueller,86.7,10.2,20.8,18.7,55,18,63,78,56,113
Bryce Fowler,86.7,20,16.3,24.4,55,63,84,41,62,124
Aaron Biediger,86.7,18.9,21.8,23.8,55,58,57,45,54,108
Tyler Quinn,86.7,14.9,15.8,25.3,55,37,86,35,58,115
William Lybrook,86.7,23.1,39,25.4,55,77,1,34,38,75
Hunter Thomas,86.7,18.8,20.3,24,55,57,66,44,56,112
Dante Vachini,86.7,18.6,20.2,23.3,55,56,66,49,57,114
Brayden Dowd,86.7,20,19,21,55,63,73,65,63,127
Nicholas Mazzotta,86.7,14.3,10.9,13,55,35,97,96,73,145
Austin Smith,86.7,15.5,12.6,24.6,55,40,94,39,61,123
Beau Hollins,86.7,15.2,31.5,36.2,55,39,9,1,28,56
Tate Gillen,86.7,21.3,13.7,19.6,55,69,92,73,72,144
Charlie Longmeier,86.6,17.3,26.2,18.6,54,49,31,79,51,102
Deric Fabian,86.6,16.2,27.1,27,54,44,26,24,38,76
Ty Fredo,86.6,26.4,21.4,19.5,54,88,59,74,65,129
Jake Long,86.6,15,19.3,22.8,54,38,71,52,56,112
Bo Yaworski,86.6,0,7.8,17.1,54,1,99,86,66,132
Jacob Humphrey,86.6,28.3,25.7,17.7,54,92,33,83,59,119
Josh Outlaw,86.6,9.3,21.1,29.6,54,15,61,12,42,84
Ty Acker,86.6,16.4,23.4,29.9,54,45,47,11,42,84
Andrew Amato,86.6,21.2,25.1,21.5,54,69,37,61,52,105
Tye Wood,86.6,13.7,20.6,16.4,54,32,64,89,60,121
Kevin Hager,86.6,17.6,21,19.5,54,51,61,74,60,119
Jeriah Lewis,86.6,25.5,27,27.9,54,85,26,19,43,87
Chris Bear,86.6,18.7,24.2,17.1,54,57,42,86,57,114
Mitchell Collins,86.6,16.1,22.5,13.6,54,43,52,96,60,120
Blake Primrose,86.6,22.2,17.4,17.3,54,73,80,85,71,142
Bennett Markinson,86.6,14.5,14.7,27.5,54,35,90,22,55,111
Cooper Sheff,86.6,16.2,24.4,19.9,54,44,41,72,52,104
Carson Kerce,86.5,18.1,15.9,21.2,53,54,86,63,65,130
Jake Paulick,86.5,11.8,20.1,17.8,53,24,67,83,59,117
Rustan Rigdon,86.5,14.2,25.4,16,53,34,35,90,52,104
Charlie Sutherland,86.5,18.1,20.3,28.4,53,54,66,17,50,99
Avery Thielman,86.5,18,20.2,24.2,53,53,66,42,55,109
Michael Ballard,86.5,18.1,11.2,19.9,53,54,96,72,70,140
Nolan Traeger,86.5,11.6,15,21.2,53,23,89,63,61,122
Lane Crowden,86.5,20,25,23.4,53,63,37,48,49,97
Michael Mylott,86.5,26.5,20.6,24.2,53,88,64,42,59,119
Chase Jans,86.5,17.4,26.5,29.6,53,50,29,12,37,74
Jackson Mayo,86.5,17.9,25.7,25.4,53,53,33,34,43,86
Josh Fitzgerald,86.5,16.5,16.9,16.3,53,45,82,89,68,135
Dan Tauken,86.5,16.5,23.9,21.3,53,45,44,63,51,102
Vicente Feliciano,86.5,19.6,27.1,30.2,53,61,26,10,37,75
Rob Rispoli,86.5,16.7,18.2,12.7,53,46,76,97,68,136
Maddox Latta,86.5,15.7,18.8,20.2,53,41,74,70,61,121
Trent Liolios,86.5,26.5,28.3,31.2,53,88,20,7,39,78
Luke Masiuk,86.5,22.5,29.2,26.5,53,74,17,27,40,80
Eli Gries-Smith,86.4,26.3,19.8,20.5,52,87,68,68,65,131
Mikey Urbaniak,86.4,17.4,21.3,15.5,52,50,60,91,62,124
Alex Urlaub,86.4,6.3,37.8,23.4,52,8,1,48,29,58
Nick Hollifield,86.4,19.7,10.5,18.9,52,62,97,77,72,144
Luke Walton,86.4,23.7,19.8,18.2,52,79,68,81,67,133
Sean McGee,86.4,26.9,31.5,24.7,52,89,9,39,42,84
Ryne Farber,86.4,11.3,9.7,17.6,52,22,98,84,68,135
Jacob Sanchez,86.4,16.3,23.6,20.9,52,44,46,65,52,103
Aidan Teel,86.4,19.7,16.4,24.5,52,62,84,40,61,121
Jake Jackson,86.4,19,29.3,27.8,52,58,16,20,36,72
Zach Fjelstad,86.4,21.4,26.9,23.8,52,70,27,45,46,91
