,,Avg. Exit Velo,Barrel%,Whiff%,Chase%,Avg. Exit Velo SD,Barrel% SD,Whiff% SD,Chase% SD,
,,86.2,17.40,22.9,23.1,4.20,7.78,6.51,5.58,
Team,Avg Exit Velocity,Barrel%,Whiff%,Chase%,EV Score,Barrel Score,Whiff% Score,Chase% Score,Offensive Power Rating,Power Rating
Daniel Bucciero,93.1,26.9,17.4,18.3,95,89,80,81,87,173
Jack Natili,93.1,23.1,26.5,23,95,77,29,51,64,127
Jesse Donohoe,93.1,28.5,19.7,15.7,95,92,69,91,86,172
Mateo Matthews,93.1,25,19.5,22.1,95,84,70,57,78,156
Thomas Zwirecki,93.1,37.5,14.3,9.8,95,100,91,99,95,190
Brayden Simpson,93.1,30.7,20.3,22.1,95,96,66,57,79,157
Anthony DePino,93.1,28.1,21.8,17.7,95,92,57,83,81,161
Dylan Joyce,93.1,30.3,33.3,30,95,95,6,11,51,103
J.C. Allen,93,31.2,30.2,24.8,95,96,13,38,59,118
Kyle Fossum,93,23.3,25.6,23.3,95,78,34,49,65,129
Joseph Eichelberger,93,33.3,18.4,17.5,95,98,76,84,87,175
Sebastian Greico,93,27.3,22.8,27.5,95,90,51,22,66,132
Adin Zorn,93,19.8,24.8,27.7,95,62,39,20,58,116
Daniel Cuvet,93,25.3,26.5,35.6,95,84,29,1,55,110
James Kemp,93,15.8,16.3,9.2,95,42,84,99,85,169
Alex Hernandez,92.9,27.2,21.9,22.2,94,90,56,56,75,149
Jack Arcamone,92.9,33.3,23.5,20.5,94,98,46,68,75,150
Jacob Krieg,92.8,27.5,33.6,21.3,94,90,5,63,61,121
Jace LaViolette,92.8,27.5,28.8,17.2,94,90,18,86,69,138
Landyn Vidourek,92.8,25.6,25.4,14,94,85,35,95,75,151
Brandon Compton,92.8,23.1,25.5,22.1,94,77,34,57,66,133
Rylan Galvan,92.8,27.4,35.3,16.9,94,90,3,87,65,129
Kollin Ritchie,92.8,29.9,22.7,23.2,94,95,51,49,72,145
Alex Birge,92.8,30.9,31.2,22.5,94,96,10,54,61,122
Jonathan Hogart,92.7,26.9,21.9,17.7,94,89,56,83,80,159
Colby Shelton,92.7,27.1,21.3,34.2,94,89,60,2,65,129
John Schroeder,92.7,26.7,29.1,31.1,94,88,17,8,53,106
Hunter Stokely,92.7,22.6,31.5,31.8,94,75,9,6,48,96
Slate Alford,92.7,20.5,25.4,25.5,94,65,35,33,60,120
Andrew Fischer,92.7,35.1,22.7,18.2,94,99,51,81,79,159
Boston Smith,92.7,29.2,25.9,16.6,94,94,32,88,74,148
Jake Casey,92.7,25.9,28.3,20.3,94,86,20,69,66,132
Wesley Jordan,92.6,26.3,23.4,25.1,94,87,47,36,67,134
Donovan Cash,92.6,27.7,24.2,23.1,94,91,42,50,69,138
Anthony Torreso,92.6,24.6,22.7,18.6,94,82,51,79,76,153
Eddie King Jr.,92.6,33.8,29.7,28.8,94,98,15,15,55,110
Jacob Ference,92.6,36,27,27.3,94,99,26,23,60,120
Korbyn Dickerson,92.6,25.6,23.9,27,94,85,44,24,64,127
Max Williams,92.5,25.9,26.3,32.5,93,86,30,5,56,111
Joshua Ibe,92.5,38.2,28.6,20.3,93,100,19,69,67,134
Wehiwa Aloy,92.5,27.6,29,28.6,93,90,17,16,55,109
